"date","Japan__all"
"1999-12-25",126708453
"2000-01-01",126708453
"2000-01-08",126717155
"2000-01-15",126725857
"2000-01-22",126734559
"2000-01-29",126743260
"2000-02-05",126751962
"2000-02-12",126760664
"2000-02-19",126769366
"2000-02-26",126778068
"2000-03-04",126786770
"2000-03-11",126795472
"2000-03-18",126804174
"2000-03-25",126812876
"2000-04-01",126821577
"2000-04-08",126830279
"2000-04-15",126838981
"2000-04-22",126847683
"2000-04-29",126856385
"2000-05-06",126865087
"2000-05-13",126873789
"2000-05-20",126882491
"2000-05-27",126891192
"2000-06-03",126899894
"2000-06-10",126908596
"2000-06-17",126917298
"2000-06-24",126926000
"2000-07-01",126934702
"2000-07-08",126943402
"2000-07-15",126952097
"2000-07-22",126960785
"2000-07-29",126969463
"2000-08-05",126978128
"2000-08-12",126986777
"2000-08-19",126995409
"2000-08-26",127004019
"2000-09-02",127012606
"2000-09-09",127021166
"2000-09-16",127029698
"2000-09-23",127038197
"2000-09-30",127046663
"2000-10-07",127055090
"2000-10-14",127063479
"2000-10-21",127071824
"2000-10-28",127080124
"2000-11-04",127088376
"2000-11-11",127096578
"2000-11-18",127104726
"2000-11-25",127112817
"2000-12-02",127120850
"2000-12-09",127128821
"2000-12-16",127136728
"2000-12-23",127144568
"2000-12-30",127152339
"2001-01-06",127160036
"2001-01-13",127167659
"2001-01-20",127175204
"2001-01-27",127182668
"2001-02-03",127190049
"2001-02-10",127197344
"2001-02-17",127204550
"2001-02-24",127211665
"2001-03-03",127218685
"2001-03-10",127225609
"2001-03-17",127232433
"2001-03-24",127239155
"2001-03-31",127245772
"2001-04-07",127252281
"2001-04-14",127258680
"2001-04-21",127264966
"2001-04-28",127271136
"2001-05-05",127277187
"2001-05-12",127283117
"2001-05-19",127288924
"2001-05-26",127294603
"2001-06-02",127300153
"2001-06-09",127305571
"2001-06-16",127310854
"2001-06-23",127316000
"2001-06-30",127321007
"2001-07-07",127325877
"2001-07-14",127330615
"2001-07-21",127335226
"2001-07-28",127339712
"2001-08-04",127344079
"2001-08-11",127348329
"2001-08-18",127352469
"2001-08-25",127356500
"2001-09-01",127360428
"2001-09-08",127364257
"2001-09-15",127367990
"2001-09-22",127371632
"2001-09-29",127375187
"2001-10-06",127378659
"2001-10-13",127382052
"2001-10-20",127385369
"2001-10-27",127388616
"2001-11-03",127391797
"2001-11-10",127394914
"2001-11-17",127397973
"2001-11-24",127400978
"2001-12-01",127403931
