index,time,SS:Japan__all,IS:Japan__all,SI:Japan__all,RS:Japan__all,SR:Japan__all,IR:Japan__all,RI:Japan__all,SQ:Japan__all,QS:Japan__all,QR:Japan__all,RQ:Japan__all,RR:Japan__all,obs_mean:EV71_JAP__IASR__inc,obs_mean:CA16_JAP__IASR__inc,obs_real:EV71_JAP__IASR__inc,obs_real:CA16_JAP__IASR__inc
0,0,3.32974e+06,2936.59,3105.15,4.35882e+06,4.84117e+06,2796.75,2662.65,355633,336871,321354,305415,1.12848e+08,0,0,0,0
0,1,3.33295e+06,3020.86,3195.56,4.35915e+06,4.84153e+06,2874.85,2738.11,355426,336658,321134,305221,1.12845e+08,1.93706,8.37893,1.72665,12.0131
0,2,3.33559e+06,3110.18,3291.16,4.35922e+06,4.84163e+06,2957.45,2817.73,355511,336718,321167,305272,1.1285e+08,1.99283,8.62355,2.88248,6.40423
0,3,3.33763e+06,3203.07,3390.35,4.35905e+06,4.84147e+06,3043.7,2900.65,355895,337058,321459,305572,1.12855e+08,2.05137,8.87968,3.49864,9.14727
0,4,3.33905e+06,3298.59,3492.08,4.35862e+06,4.84104e+06,3132.72,2986,356577,337679,322014,306123,1.12861e+08,2.11201,9.14435,0.119426,11.4699
0,5,3.33984e+06,3395.59,3595.1,4.35795e+06,4.84036e+06,3223.49,3072.76,357556,338579,322830,306924,1.12866e+08,2.1741,9.41454,0.704728,10.8839
0,6,3.34e+06,3492.82,3698.01,4.35703e+06,4.83943e+06,3314.84,3159.76,358825,339754,323904,307970,1.12871e+08,2.23687,9.68677,3.47213,10.3582
0,7,3.33954e+06,3588.9,3799.3,4.35588e+06,4.83825e+06,3405.52,3245.76,360374,341194,325229,309254,1.12877e+08,2.29947,9.95725,1.20181,11.5081
0,8,3.33848e+06,3682.37,3897.37,4.35451e+06,4.83683e+06,3494.16,3329.42,362187,342886,326794,310764,1.12883e+08,2.36101,10.2219,3.53306,14.0057
0,9,3.33683e+06,3771.7,3990.57,4.35293e+06,4.83521e+06,3579.34,3409.34,364245,344813,328583,312485,1.12888e+08,2.4205,10.4764,1.66475,11.7276
0,10,3.33464e+06,3855.34,4077.21,4.35118e+06,4.83339e+06,3659.6,3484.12,366522,346953,330577,314395,1.12894e+08,2.47696,10.7163,2.45783,16.3175
0,11,3.33196e+06,3931.79,4155.67,4.34928e+06,4.83141e+06,3733.5,3552.35,368991,349280,332753,316474,1.129e+08,2.5294,10.9374,3.4343,12.4497
0,12,3.32884e+06,3999.61,4224.45,4.34725e+06,4.82928e+06,3799.67,3612.72,371618,351765,335085,318692,1.12906e+08,2.57684,11.1352,2.56785,7.87411
0,13,3.32533e+06,4057.51,4282.2,4.34512e+06,4.82705e+06,3856.84,3664.06,374367,354374,337542,321021,1.12912e+08,2.6184,11.3061,1.67421,9.22503
0,14,3.32153e+06,4104.41,4327.78,4.34294e+06,4.82474e+06,3903.93,3705.36,377198,357073,340091,323428,1.12919e+08,2.65329,11.4467,1.10904,12.766
0,15,3.31749e+06,4139.46,4360.39,4.34073e+06,4.8224e+06,3940.07,3735.84,380071,359822,342698,325878,1.12925e+08,2.68084,11.5543,3.64081,9.54953
0,16,3.31331e+06,4162.1,4379.48,4.33853e+06,4.82005e+06,3964.63,3754.98,382944,362584,345325,328337,1.12932e+08,2.70059,11.6269,1.04489,15.2096
0,17,3.30906e+06,4172.08,4384.91,4.33638e+06,4.81773e+06,3977.3,3762.56,385774,365318,347937,330768,1.12938e+08,2.71224,11.6636,4.55904,12.1734
0,18,3.30483e+06,4169.47,4376.85,4.33432e+06,4.81549e+06,3978.04,3758.65,388521,367988,350496,333137,1.12945e+08,2.71569,11.6643,3.78329,10.0603
0,19,3.30069e+06,4154.67,4355.84,4.33236e+06,4.81335e+06,3967.13,3743.61,391147,370557,352968,335411,1.12952e+08,2.71107,11.6298,2.2556,14.0582
0,20,3.29672e+06,4128.34,4322.7,4.33056e+06,4.81134e+06,3945.13,3718.08,393615,372990,355320,337558,1.1296e+08,2.69869,11.5617,0.88633,8.69409
0,21,3.29299e+06,4091.43,4278.57,4.32892e+06,4.8095e+06,3912.83,3682.93,395896,375257,357523,339552,1.12967e+08,2.67905,11.4626,4.25639,5.84009
0,22,3.28956e+06,4045.08,4224.76,4.32748e+06,4.80784e+06,3871.27,3639.24,397961,377333,359550,341368,1.12974e+08,2.65281,11.3357,1.91245,12.5337
0,23,3.28649e+06,3990.6,4162.75,4.32624e+06,4.80639e+06,3821.63,3588.23,399791,379195,361380,342988,1.12982e+08,2.62075,11.1846,0.248752,8.67797
0,24,3.2838e+06,3929.41,4094.15,4.32523e+06,4.80516e+06,3765.23,3531.23,401367,380827,362996,344395,1.12989e+08,2.58373,11.0134,3.45643,9.28197
0,25,3.28155e+06,3862.96,4020.54,4.32446e+06,4.80416e+06,3703.42,3469.59,402680,382216,364383,345581,1.12997e+08,2.5427,10.8262,4.48676,10.1917
0,26,3.27976e+06,3792.72,3943.55,4.32392e+06,4.8034e+06,3637.6,3404.68,403725,383356,365535,346538,1.13005e+08,2.49858,10.6274,0,9.567
0,27,3.27843e+06,3720.1,3864.69,4.32362e+06,4.80287e+06,3569.12,3337.81,404499,384244,366448,347265,1.13013e+08,2.45233,10.4211,4.62384,9.90245
0,28,3.27757e+06,3646.45,3785.4,4.32355e+06,4.80259e+06,3499.27,3270.23,405009,384881,367122,347764,1.13021e+08,2.40485,10.2112,1.37736,16.5823
0,29,3.27719e+06,3573.01,3706.99,4.3237e+06,4.80253e+06,3429.26,3203.08,405260,385274,367562,348042,1.13029e+08,2.35698,10.0015,1.03798,7.15158
0,30,3.27727e+06,3500.89,3630.63,4.32407e+06,4.80269e+06,3360.18,3137.38,405267,385431,367775,348107,1.13037e+08,2.3095,9.79527,1.55576,12.1266
0,31,3.2778e+06,3431.08,3557.33,4.32464e+06,4.80306e+06,3292.99,3074.03,405042,385365,367771,347972,1.13044e+08,2.2631,9.59545,3.24802,13.6457
0,32,3.27875e+06,3364.42,3487.95,4.3254e+06,4.80362e+06,3228.55,3013.81,404604,385090,367565,347650,1.13052e+08,2.21839,9.40459,3.9427,7.05928
0,33,3.2801e+06,3301.64,3423.22,4.32632e+06,4.80436e+06,3167.56,2957.37,403971,384624,367172,347156,1.1306e+08,2.1759,9.22485,2.39715,8.95033
0,34,3.28183e+06,3243.32,3363.71,4.32739e+06,4.80526e+06,3110.64,2905.23,403164,383984,366607,346510,1.13068e+08,2.13605,9.05799,1.38789,17.23
0,35,3.28389e+06,3189.94,3309.9,4.3286e+06,4.8063e+06,3058.26,2857.81,402205,383190,365890,345728,1.13076e+08,2.09921,8.90545,4.03178,10.3267
0,36,3.28625e+06,3141.88,3262.12,4.32991e+06,4.80746e+06,3010.81,2815.45,401117,382261,365040,344829,1.13084e+08,2.06566,8.76832,3.25198,16.713
0,37,3.28888e+06,3099.41,3220.63,4.33131e+06,4.80873e+06,2968.58,2778.38,399921,381219,364074,343833,1.13091e+08,2.03562,8.64746,2.52017,10.9793
0,38,3.29173e+06,3062.73,3185.61,4.33279e+06,4.81008e+06,2931.77,2746.76,398641,380085,363014,342759,1.13099e+08,2.00926,8.54344,1.22422,9.84058
0,39,3.29477e+06,3031.97,3157.14,4.33431e+06,4.81149e+06,2900.53,2720.69,397299,378878,361879,341627,1.13106e+08,1.98668,8.45664,0.472158,9.21899
0,40,3.29797e+06,3007.19,3135.27,4.33587e+06,4.81295e+06,2874.94,2700.23,395916,377619,360688,340454,1.13113e+08,1.96796,8.38726,0.884288,7.26164
0,41,3.30127e+06,2988.41,3119.98,4.33744e+06,4.81443e+06,2855.03,2685.37,394515,376328,359460,339259,1.13121e+08,1.95312,8.33536,1.45107,6.84295
0,42,3.30464e+06,2975.6,3111.22,4.33901e+06,4.81592e+06,2840.79,2676.08,393116,375024,358213,338061,1.13128e+08,1.94217,8.30086,4.64984,10.9072
0,43,3.30804e+06,2968.69,3108.88,4.34056e+06,4.8174e+06,2832.15,2672.28,391739,373727,356966,336876,1.13135e+08,1.93508,8.28356,2.68539,6.85414
0,44,3.31144e+06,2967.58,3112.85,4.34206e+06,4.81886e+06,2829.05,2673.88,390403,372453,355736,335720,1.13142e+08,1.93179,8.28319,2.627,15.6397
0,45,3.31479e+06,2972.13,3122.96,4.34352e+06,4.82027e+06,2831.34,2680.74,389126,371220,354539,334610,1.13149e+08,1.93224,8.29936,0.866846,10.8638
0,46,3.31807e+06,2982.18,3139.01,4.3449e+06,4.82163e+06,2838.9,2692.71,387925,370045,353391,333560,1.13155e+08,1.93632,8.33163,1.60596,13.2557
0,47,3.32123e+06,2997.54,3160.79,4.3462e+06,4.82292e+06,2851.54,2709.61,386816,368941,352305,332584,1.13162e+08,1.94393,8.37945,4.62218,7.45581
0,48,3.32424e+06,3017.97,3188.03,4.34741e+06,4.82413e+06,2869.07,2731.22,385813,367923,351297,331694,1.13169e+08,1.95493,8.44219,1.1586,3.80362
0,49,3.32708e+06,3043.21,3220.43,4.34851e+06,4.82524e+06,2891.23,2757.3,384931,367004,350378,330903,1.13175e+08,1.96917,8.51913,3.82883,9.33751
0,50,3.3297e+06,3072.96,3257.66,4.34949e+06,4.82625e+06,2917.77,2787.57,384180,366195,349559,330220,1.13181e+08,1.98646,8.60944,1.33916,9.72231
0,51,3.33209e+06,3106.89,3299.34,4.35035e+06,4.82715e+06,2948.37,2821.73,383571,365507,348852,329656,1.13187e+08,2.00661,8.71217,1.70322,10.684
0,52,3.33422e+06,3144.61,3345.03,4.35107e+06,4.82792e+06,2982.69,2859.41,383115,364949,348264,329219,1.13193e+08,2.02938,8.82628,2.77908,6.74764
0,53,3.33607e+06,3185.7,3394.25,4.35166e+06,4.82857e+06,3020.33,2900.21,382817,364528,347804,328914,1.13199e+08,2.05452,8.95057,4.05046,1.15757
0,54,3.33762e+06,3229.68,3446.45,4.3521e+06,4.82909e+06,3060.88,2943.7,382684,364249,347477,328748,1.13205e+08,2.08175,9.0837,2.04456,7.38428
0,55,3.33885e+06,3276.04,3501.06,4.35239e+06,4.82948e+06,3103.85,2989.38,382720,364118,347288,328724,1.13211e+08,2.11074,9.22419,2.87524,8.51232
0,56,3.33975e+06,3324.19,3557.4,4.35253e+06,4.82972e+06,3148.71,3036.7,382925,364136,347239,328845,1.13217e+08,2.14115,9.3704,0.443883,12.0109
0,57,3.34031e+06,3373.52,3614.78,4.35253e+06,4.82984e+06,3194.9,3085.1,383300,364304,347333,329109,1.13223e+08,2.17259,9.52056,6.81738,9.94439
0,58,3.34054e+06,3423.37,3672.45,4.35238e+06,4.82981e+06,3241.8,3133.92,383842,364620,347567,329516,1.13228e+08,2.20466,9.67275,2.36437,11.257
