time,low95:SS:Japan__all,SS:Japan__all,high95:SS:Japan__all,low95:IS:Japan__all,IS:Japan__all,high95:IS:Japan__all,low95:SI:Japan__all,SI:Japan__all,high95:SI:Japan__all,low95:RS:Japan__all,RS:Japan__all,high95:RS:Japan__all,low95:SR:Japan__all,SR:Japan__all,high95:SR:Japan__all,low95:IR:Japan__all,IR:Japan__all,high95:IR:Japan__all,low95:RI:Japan__all,RI:Japan__all,high95:RI:Japan__all,low95:SQ:Japan__all,SQ:Japan__all,high95:SQ:Japan__all,low95:QS:Japan__all,QS:Japan__all,high95:QS:Japan__all,low95:QR:Japan__all,QR:Japan__all,high95:QR:Japan__all,low95:RQ:Japan__all,RQ:Japan__all,high95:RQ:Japan__all,low95:RR:Japan__all,RR:Japan__all,high95:RR:Japan__all,low95:EV71_JAP__IASR__inc,EV71_JAP__IASR__inc,high95:EV71_JAP__IASR__inc,low95:CA16_JAP__IASR__inc,CA16_JAP__IASR__inc,high95:CA16_JAP__IASR__inc
0,6.82284e+06,6.82284e+06,6.82284e+06,10.6354,10.6354,10.6354,1454.84,1454.84,1454.84,1.6523e+07,1.6523e+07,1.6523e+07,1.59123e+07,1.59123e+07,1.59123e+07,7.10342,7.10342,7.10342,1009.58,1009.58,1009.58,653843,653843,653843,133516,133516,133516,84367,84367,84367,465135,465135,465135,8.61109e+07,8.61109e+07,8.61109e+07,0,0,0,0,0,0
1,6.84116e+06,6.84116e+06,6.84116e+06,10.859,10.859,10.859,1431.2,1431.2,1431.2,1.65213e+07,1.65213e+07,1.65213e+07,1.59257e+07,1.59257e+07,1.59257e+07,7.24182,7.24182,7.24182,990.542,990.542,990.542,641780,641780,641780,130333,130333,130333,82356.8,82356.8,82356.8,456487,456487,456487,8.6107e+07,8.6107e+07,8.6107e+07,0.0122505,0.0122505,0.0122505,3.31376,3.31376,3.31376
2,6.85952e+06,6.85952e+06,6.85952e+06,11.1267,11.1267,11.1267,1413.13,1413.13,1413.13,1.65195e+07,1.65195e+07,1.65195e+07,1.59387e+07,1.59387e+07,1.59387e+07,7.40675,7.40675,7.40675,975.321,975.321,975.321,629955,629955,629955,127228,127228,127228,80395.3,80395.3,80395.3,448003,448003,448003,8.61114e+07,8.61114e+07,8.61114e+07,0.0125223,0.0125223,0.0125223,3.26232,3.26232,3.26232
3,6.8779e+06,6.8779e+06,6.8779e+06,11.4375,11.4375,11.4375,1400.28,1400.28,1400.28,1.65177e+07,1.65177e+07,1.65177e+07,1.59515e+07,1.59515e+07,1.59515e+07,7.59941,7.59941,7.59941,963.759,963.759,963.759,618375,618375,618375,124197,124197,124197,78481.4,78481.4,78481.4,439689,439689,439689,8.61157e+07,8.61157e+07,8.61157e+07,0.0128423,0.0128423,0.0128423,3.2232,3.2232,3.2232
4,6.89631e+06,6.89631e+06,6.89631e+06,11.7931,11.7931,11.7931,1392.56,1392.56,1392.56,1.65158e+07,1.65158e+07,1.65158e+07,1.5964e+07,1.5964e+07,1.5964e+07,7.82095,7.82095,7.82095,955.776,955.776,955.776,607047,607047,607047,121241,121241,121241,76614,76614,76614,431551,431551,431551,8.61197e+07,8.61197e+07,8.61197e+07,0.0132116,0.0132116,0.0132116,3.196,3.196,3.196
5,6.91471e+06,6.91471e+06,6.91471e+06,12.1959,12.1959,12.1959,1389.91,1389.91,1389.91,1.65138e+07,1.65138e+07,1.65138e+07,1.59762e+07,1.59762e+07,1.59762e+07,8.07272,8.07272,8.07272,951.309,951.309,951.309,595978,595978,595978,118356,118356,118356,74792.2,74792.2,74792.2,423592,423592,423592,8.61234e+07,8.61234e+07,8.61234e+07,0.0136325,0.0136325,0.0136325,3.18053,3.18053,3.18053
6,6.9331e+06,6.9331e+06,6.9331e+06,12.6487,12.6487,12.6487,1392.36,1392.36,1392.36,1.65118e+07,1.65118e+07,1.65118e+07,1.59881e+07,1.59881e+07,1.59881e+07,8.35647,8.35647,8.35647,950.337,950.337,950.337,585176,585176,585176,115542,115542,115542,73014.8,73014.8,73014.8,415818,415818,415818,8.6127e+07,8.6127e+07,8.6127e+07,0.0141078,0.0141078,0.0141078,3.1767,3.1767,3.1767
7,6.95147e+06,6.95147e+06,6.95147e+06,13.155,13.155,13.155,1399.95,1399.95,1399.95,1.65098e+07,1.65098e+07,1.65098e+07,1.59998e+07,1.59998e+07,1.59998e+07,8.67435,8.67435,8.67435,952.873,952.873,952.873,574646,574646,574646,112797,112797,112797,71280.9,71280.9,71280.9,408233,408233,408233,8.61303e+07,8.61303e+07,8.61303e+07,0.0146411,0.0146411,0.0146411,3.18456,3.18456,3.18456
8,6.96979e+06,6.96979e+06,6.96979e+06,13.719,13.719,13.719,1412.81,1412.81,1412.81,1.65076e+07,1.65076e+07,1.65076e+07,1.60113e+07,1.60113e+07,1.60113e+07,9.02896,9.02896,9.02896,958.967,958.967,958.967,564394,564394,564394,110119,110119,110119,69589.6,69589.6,69589.6,400841,400841,400841,8.61334e+07,8.61334e+07,8.61334e+07,0.0152366,0.0152366,0.0152366,3.20427,3.20427,3.20427
9,6.98807e+06,6.98807e+06,6.98807e+06,14.3458,14.3458,14.3458,1431.11,1431.11,1431.11,1.65054e+07,1.65054e+07,1.65054e+07,1.60224e+07,1.60224e+07,1.60224e+07,9.42337,9.42337,9.42337,968.708,968.708,968.708,554429,554429,554429,107507,107507,107507,67939.9,67939.9,67939.9,393647,393647,393647,8.61362e+07,8.61362e+07,8.61362e+07,0.0158995,0.0158995,0.0158995,3.23611,3.23611,3.23611
