index,time,SS:Japan__all,IS:Japan__all,SI:Japan__all,RS:Japan__all,SR:Japan__all,IR:Japan__all,RI:Japan__all,SQ:Japan__all,QS:Japan__all,QR:Japan__all,RQ:Japan__all,RR:Japan__all,obs_mean:EV71_JAP__IASR__inc,obs_mean:CA16_JAP__IASR__inc,obs_real:EV71_JAP__IASR__inc,obs_real:CA16_JAP__IASR__inc
0,0,3.12455e+06,4021.21,76.9392,4.4842e+06,5.92432e+06,3386.2,49.1293,1.07917e+06,112490,746504,7.05946e+06,1.0417e+08,0,0,0,0
0,1,3.12553e+06,7415.85,91.5828,4.45616e+06,5.93092e+06,6247.95,58.1064,1.05389e+06,157573,1.05477e+06,6.89321e+06,1.04023e+08,10.2744,0.163985,7.86288,0
0,2,3.10864e+06,13596.1,107.261,4.40447e+06,5.92172e+06,11488.5,67.6234,1.02938e+06,241311,1.62899e+06,6.73175e+06,1.03626e+08,18.9291,0.193405,19.8209,0
0,3,3.06064e+06,24206.9,120.488,4.31201e+06,5.88523e+06,20611.9,75.5212,1.00559e+06,392423,2.67076e+06,6.57491e+06,1.02779e+08,34.3187,0.221813,34.3187,0.567424
0,4,2.96411e+06,40282.1,124.514,4.15676e+06,5.80547e+06,34839.8,77.661,982451,649345,4.45824e+06,6.42224e+06,1.01221e+08,59.441,0.239386,59.441,0
0,5,2.80648e+06,59358.1,111.661,3.92445e+06,5.66867e+06,52743.3,69.406,959823,1.04147e+06,7.2261e+06,6.27295e+06,9.8731e+07,94.0465,0.231413,94.0465,0.502243
0,6,2.59832e+06,73196.3,81.814,3.63287e+06,5.47912e+06,67643.8,50.7987,937520,1.54878e+06,1.08804e+07,6.12604e+06,9.54079e+07,128.729,0.188888,128.729,0.387855
0,7,2.38034e+06,73246.8,47.4757,3.33981e+06,5.2698e+06,70927.9,29.5411,915437,2.08135e+06,1.48117e+07,5.98098e+06,9.1837e+07,145.827,0.124273,145.827,0.547235
0,8,2.19786e+06,60337.9,22.232,3.10697e+06,5.08475e+06,61142.5,13.9155,893609,2.53129e+06,1.82167e+07,5.83796e+06,8.87787e+07,135.243,0.0653978,135.243,0
0,9,2.07126e+06,42931.5,8.88638,2.96015e+06,4.94954e+06,45092.3,5.61401,872140,2.8439e+06,2.06361e+07,5.69752e+06,8.66594e+07,105.539,0.0285303,105.539,0.205678
0,10,1.99597e+06,27837.5,3.23625,2.89047e+06,4.86471e+06,29940.7,2.06929,851111,3.02577e+06,2.2074e+07,5.56007e+06,8.54669e+07,72.7082,0.0109526,72.7082,0.0982474
0,11,1.95792e+06,17162.5,1.14079,2.87629e+06,4.81836e+06,18700.6,0.739539,830560,3.1105e+06,2.27647e+07,5.4258e+06,8.49754e+07,46.3662,0.00393572,46.3662,0.0450468
0,12,1.94393e+06,10348.8,0.414832,2.89761e+06,4.79743e+06,11334.6,0.272868,810495,3.13181e+06,2.29619e+07,5.29471e+06,8.49446e+07,28.379,0.001405,28.379,0
