time,low95:SS:Japan__all,SS:Japan__all,high95:SS:Japan__all,low95:IS:Japan__all,IS:Japan__all,high95:IS:Japan__all,low95:SI:Japan__all,SI:Japan__all,high95:SI:Japan__all,low95:RS:Japan__all,RS:Japan__all,high95:RS:Japan__all,low95:SR:Japan__all,SR:Japan__all,high95:SR:Japan__all,low95:IR:Japan__all,IR:Japan__all,high95:IR:Japan__all,low95:RI:Japan__all,RI:Japan__all,high95:RI:Japan__all,low95:SQ:Japan__all,SQ:Japan__all,high95:SQ:Japan__all,low95:QS:Japan__all,QS:Japan__all,high95:QS:Japan__all,low95:QR:Japan__all,QR:Japan__all,high95:QR:Japan__all,low95:RQ:Japan__all,RQ:Japan__all,high95:RQ:Japan__all,low95:RR:Japan__all,RR:Japan__all,high95:RR:Japan__all,low95:EV71_JAP__IASR__inc,EV71_JAP__IASR__inc,high95:EV71_JAP__IASR__inc,low95:CA16_JAP__IASR__inc,CA16_JAP__IASR__inc,high95:CA16_JAP__IASR__inc
0,2.60621e+07,2.60621e+07,2.60621e+07,3362.37,3362.37,3362.37,2698.48,2698.48,2698.48,2.21091e+07,2.21091e+07,2.21091e+07,1.57771e+07,1.57771e+07,1.57771e+07,1517.92,1517.92,1517.92,1707.11,1707.11,1707.11,42372.4,42372.4,42372.4,60840.9,60840.9,60840.9,74568.6,74568.6,74568.6,64574.8,64574.8,64574.8,6.25084e+07,6.25084e+07,6.25084e+07,0,0,0,0,0,0
1,2.60659e+07,2.60659e+07,2.60659e+07,3419.91,3419.91,3419.91,2745.16,2745.16,2745.16,2.211e+07,2.211e+07,2.211e+07,1.57777e+07,1.57777e+07,1.57777e+07,1543.69,1543.69,1543.69,1736.43,1736.43,1736.43,42428.5,42428.5,42428.5,60914.8,60914.8,60914.8,74505.1,74505.1,74505.1,64541.6,64541.6,64541.6,6.2503e+07,6.2503e+07,6.2503e+07,3.26869,3.26869,3.26869,3.10651,3.10651,3.10651
2,2.60695e+07,2.60695e+07,2.60695e+07,3478.37,3478.37,3478.37,2791.85,2791.85,2791.85,2.21107e+07,2.21107e+07,2.21107e+07,1.57782e+07,1.57782e+07,1.57782e+07,1569.91,1569.91,1569.91,1765.77,1765.77,1765.77,42637.2,42637.2,42637.2,61209.2,61209.2,61209.2,74742.4,74742.4,74742.4,64763.8,64763.8,64763.8,6.25058e+07,6.25058e+07,6.25058e+07,3.32452,3.32452,3.32452,3.1597,3.1597,3.1597
3,2.60727e+07,2.60727e+07,2.60727e+07,3537.45,3537.45,3537.45,2838.33,2838.33,2838.33,2.21113e+07,2.21113e+07,2.21113e+07,1.57787e+07,1.57787e+07,1.57787e+07,1596.41,1596.41,1596.41,1794.99,1794.99,1794.99,42963.3,42963.3,42963.3,61676.6,61676.6,61676.6,75216.2,75216.2,75216.2,65183.1,65183.1,65183.1,6.25083e+07,6.25083e+07,6.25083e+07,3.38105,3.38105,3.38105,3.21273,3.21273,3.21273
4,2.60757e+07,2.60757e+07,2.60757e+07,3597.21,3597.21,3597.21,2884.64,2884.64,2884.64,2.21119e+07,2.21119e+07,2.21119e+07,1.57791e+07,1.57791e+07,1.57791e+07,1623.23,1623.23,1623.23,1824.11,1824.11,1824.11,43379.4,43379.4,43379.4,62280.5,62280.5,62280.5,75876.1,75876.1,75876.1,65753.7,65753.7,65753.7,6.25106e+07,6.25106e+07,6.25106e+07,3.43823,3.43823,3.43823,3.26555,3.26555,3.26555
5,2.60785e+07,2.60785e+07,2.60785e+07,3657.64,3657.64,3657.64,2930.78,2930.78,2930.78,2.21124e+07,2.21124e+07,2.21124e+07,1.57795e+07,1.57795e+07,1.57795e+07,1650.36,1650.36,1650.36,1853.13,1853.13,1853.13,43864.5,43864.5,43864.5,62992.6,62992.6,62992.6,76683.3,76683.3,76683.3,66440.4,66440.4,66440.4,6.25128e+07,6.25128e+07,6.25128e+07,3.49605,3.49605,3.49605,3.3182,3.3182,3.3182
6,2.60809e+07,2.60809e+07,2.60809e+07,3718.73,3718.73,3718.73,2976.77,2976.77,2976.77,2.2113e+07,2.2113e+07,2.2113e+07,1.57798e+07,1.57798e+07,1.57798e+07,1677.8,1677.8,1677.8,1882.07,1882.07,1882.07,44402.4,44402.4,44402.4,63791.1,63791.1,63791.1,77607.5,77607.5,77607.5,67216.1,67216.1,67216.1,6.2515e+07,6.2515e+07,6.2515e+07,3.55453,3.55453,3.55453,3.37066,3.37066,3.37066
7,2.60831e+07,2.60831e+07,2.60831e+07,3780.45,3780.45,3780.45,3022.57,3022.57,3022.57,2.21135e+07,2.21135e+07,2.21135e+07,1.57802e+07,1.57802e+07,1.57802e+07,1705.54,1705.54,1705.54,1910.9,1910.9,1910.9,44980.6,44980.6,44980.6,64659,64659,64659,78625.6,78625.6,78625.6,68059.8,68059.8,68059.8,6.25171e+07,6.25171e+07,6.25171e+07,3.61363,3.61363,3.61363,3.42294,3.42294,3.42294
8,2.6085e+07,2.6085e+07,2.6085e+07,3842.73,3842.73,3842.73,3068.16,3068.16,3068.16,2.21141e+07,2.21141e+07,2.21141e+07,1.57806e+07,1.57806e+07,1.57806e+07,1733.55,1733.55,1733.55,1939.63,1939.63,1939.63,45589.1,45589.1,45589.1,65583,65583,65583,79719.1,79719.1,79719.1,68955,68955,68955,6.25193e+07,6.25193e+07,6.25193e+07,3.67332,3.67332,3.67332,3.47501,3.47501,3.47501
9,2.60866e+07,2.60866e+07,2.60866e+07,3905.53,3905.53,3905.53,3113.51,3113.51,3113.51,2.21147e+07,2.21147e+07,2.21147e+07,1.5781e+07,1.5781e+07,1.5781e+07,1761.8,1761.8,1761.8,1968.21,1968.21,1968.21,46220.3,46220.3,46220.3,66552.5,66552.5,66552.5,80873.8,80873.8,80873.8,69888.9,69888.9,69888.9,6.25215e+07,6.25215e+07,6.25215e+07,3.73355,3.73355,3.73355,3.52684,3.52684,3.52684
10,2.6088e+07,2.6088e+07,2.6088e+07,3968.74,3968.74,3968.74,3158.55,3158.55,3158.55,2.21153e+07,2.21153e+07,2.21153e+07,1.57815e+07,1.57815e+07,1.57815e+07,1790.27,1790.27,1790.27,1996.63,1996.63,1996.63,46868.1,46868.1,46868.1,67559.2,67559.2,67559.2,82078,82078,82078,70851.3,70851.3,70851.3,6.25238e+07,6.25238e+07,6.25238e+07,3.79423,3.79423,3.79423,3.57837,3.57837,3.57837
11,2.6089e+07,2.6089e+07,2.6089e+07,4032.26,4032.26,4032.26,3203.22,3203.22,3203.22,2.2116e+07,2.2116e+07,2.2116e+07,1.57819e+07,1.57819e+07,1.57819e+07,1818.89,1818.89,1818.89,2024.84,2024.84,2024.84,47527.5,47527.5,47527.5,68596.1,68596.1,68596.1,83322.4,83322.4,83322.4,71834.1,71834.1,71834.1,6.25261e+07,6.25261e+07,6.25261e+07,3.85528,3.85528,3.85528,3.62952,3.62952,3.62952
12,2.60898e+07,2.60898e+07,2.60898e+07,4095.97,4095.97,4095.97,3247.43,3247.43,3247.43,2.21168e+07,2.21168e+07,2.21168e+07,1.57824e+07,1.57824e+07,1.57824e+07,1847.62,1847.62,1847.62,2052.78,2052.78,2052.78,48194.4,48194.4,48194.4,69657.4,69657.4,69657.4,84599,84599,84599,72830.4,72830.4,72830.4,6.25286e+07,6.25286e+07,6.25286e+07,3.91659,3.91659,3.91659,3.68023,3.68023,3.68023
13,2.60904e+07,2.60904e+07,2.60904e+07,4159.72,4159.72,4159.72,3291.09,3291.09,3291.09,2.21176e+07,2.21176e+07,2.21176e+07,1.5783e+07,1.5783e+07,1.5783e+07,1876.39,1876.39,1876.39,2080.41,2080.41,2080.41,48865.3,48865.3,48865.3,70737.9,70737.9,70737.9,85901.2,85901.2,85901.2,73834.5,73834.5,73834.5,6.25312e+07,6.25312e+07,6.25312e+07,3.97802,3.97802,3.97802,3.73038,3.73038,3.73038
14,2.60906e+07,2.60906e+07,2.60906e+07,4223.35,4223.35,4223.35,3334.09,3334.09,3334.09,2.21185e+07,2.21185e+07,2.21185e+07,1.57835e+07,1.57835e+07,1.57835e+07,1905.13,1905.13,1905.13,2107.64,2107.64,2107.64,49537.1,49537.1,49537.1,71833,71833,71833,87222.9,87222.9,87222.9,74841.5,74841.5,74841.5,6.25339e+07,6.25339e+07,6.25339e+07,4.03943,4.03943,4.03943,3.77985,3.77985,3.77985
15,2.60906e+07,2.60906e+07,2.60906e+07,4286.66,4286.66,4286.66,3376.3,3376.3,3376.3,2.21195e+07,2.21195e+07,2.21195e+07,1.57841e+07,1.57841e+07,1.57841e+07,1933.76,1933.76,1933.76,2134.42,2134.42,2134.42,50207.1,50207.1,50207.1,72938.6,72938.6,72938.6,88558.6,88558.6,88558.6,75846.9,75846.9,75846.9,6.25367e+07,6.25367e+07,6.25367e+07,4.10064,4.10064,4.10064,3.82853,3.82853,3.82853
16,2.60903e+07,2.60903e+07,2.60903e+07,4349.46,4349.46,4349.46,3417.61,3417.61,3417.61,2.21206e+07,2.21206e+07,2.21206e+07,1.57848e+07,1.57848e+07,1.57848e+07,1962.18,1962.18,1962.18,2160.65,2160.65,2160.65,50872.7,50872.7,50872.7,74050.6,74050.6,74050.6,89902.9,89902.9,89902.9,76846.6,76846.6,76846.6,6.25397e+07,6.25397e+07,6.25397e+07,4.16148,4.16148,4.16148,3.87627,3.87627,3.87627
