index,time,SS:Japan__all,IS:Japan__all,SI:Japan__all,RS:Japan__all,SR:Japan__all,IR:Japan__all,RI:Japan__all,SQ:Japan__all,QS:Japan__all,QR:Japan__all,RQ:Japan__all,RR:Japan__all,obs_mean:EV71_JAP__IASR__inc,obs_mean:CA16_JAP__IASR__inc,obs_real:EV71_JAP__IASR__inc,obs_real:CA16_JAP__IASR__inc
0,0,3.02119e+06,3869.61,6219.49,3.13863e+06,8.00716e+06,13517.7,14385.3,507735,159178,549852,1.18922e+06,1.10097e+08,0,0,0,0
0,1,3.02096e+06,4031.56,6166.16,3.1361e+06,8.00736e+06,14015.6,14170.8,505450,164042,566948,1.18319e+06,1.10086e+08,10.94,19.4601,10.4657,20.0754
0,2,3.02052e+06,4183.78,6085.94,3.13381e+06,8.00701e+06,14543.7,13980.9,503053,169147,584821,1.17684e+06,1.10083e+08,11.3539,19.2045,9.05967,16.7715
0,3,3.01986e+06,4339.29,6003.09,3.13177e+06,8.00609e+06,15087.3,13790.8,500520,174483,603496,1.17021e+06,1.1008e+08,11.7799,18.9464,10.3221,19.0755
0,4,3.01898e+06,4498.69,5919.08,3.12998e+06,8.00459e+06,15645.1,13599.3,497853,180051,622982,1.1633e+06,1.10077e+08,12.2173,18.6857,15.3809,19.2291
0,5,3.01787e+06,4661.67,5833.93,3.12845e+06,8.00248e+06,16216.2,13406.4,495054,185853,643288,1.15613e+06,1.10074e+08,12.6655,18.4226,12.9271,20.0918
0,6,3.01652e+06,4827.86,5747.63,3.1272e+06,7.99975e+06,16799.2,13211.9,492125,191889,664416,1.14869e+06,1.10071e+08,13.1235,18.157,13.4624,17.6305
0,7,3.01494e+06,4996.8,5660.13,3.12622e+06,7.99639e+06,17392.6,13015.8,489066,198159,686366,1.141e+06,1.10067e+08,13.5904,17.8887,12.5541,18.0887
0,8,3.01311e+06,5167.92,5571.38,3.12553e+06,7.99239e+06,17994.6,12817.9,485881,204660,709133,1.13305e+06,1.10064e+08,14.0646,17.6177,13.7649,16.616
0,9,3.01104e+06,5340.57,5481.32,3.12514e+06,7.98773e+06,18602.9,12617.9,482569,211389,732707,1.12486e+06,1.10061e+08,14.5446,17.3436,15.1968,15.8638
0,10,3.00873e+06,5514,5389.88,3.12505e+06,7.98242e+06,19215,12415.8,479133,218340,757070,1.11642e+06,1.10057e+08,15.0285,17.0663,16.0528,15.3916
0,11,3.00618e+06,5687.33,5296.98,3.12527e+06,7.97644e+06,19827.8,12211.2,475573,225506,782198,1.10775e+06,1.10054e+08,15.514,16.7854,15.516,18.0052
0,12,3.0034e+06,5859.63,5202.55,3.12582e+06,7.9698e+06,20438,12004,471889,232876,808060,1.09883e+06,1.1005e+08,15.9986,16.5006,16.5233,16.2091
0,13,3.00039e+06,6029.82,5106.52,3.12669e+06,7.9625e+06,21042.1,11793.8,468083,240439,834615,1.08968e+06,1.10047e+08,16.4795,16.2117,18.0883,13.6316
0,14,2.99717e+06,6196.78,5008.86,3.12791e+06,7.95455e+06,21635.9,11580.6,464154,248180,861814,1.08029e+06,1.10043e+08,16.9538,15.9184,12.9741,16.7387
