time,low95:SS:Japan__all,SS:Japan__all,high95:SS:Japan__all,low95:IS:Japan__all,IS:Japan__all,high95:IS:Japan__all,low95:SI:Japan__all,SI:Japan__all,high95:SI:Japan__all,low95:RS:Japan__all,RS:Japan__all,high95:RS:Japan__all,low95:SR:Japan__all,SR:Japan__all,high95:SR:Japan__all,low95:IR:Japan__all,IR:Japan__all,high95:IR:Japan__all,low95:RI:Japan__all,RI:Japan__all,high95:RI:Japan__all,low95:SQ:Japan__all,SQ:Japan__all,high95:SQ:Japan__all,low95:QS:Japan__all,QS:Japan__all,high95:QS:Japan__all,low95:QR:Japan__all,QR:Japan__all,high95:QR:Japan__all,low95:RQ:Japan__all,RQ:Japan__all,high95:RQ:Japan__all,low95:RR:Japan__all,RR:Japan__all,high95:RR:Japan__all,low95:EV71_JAP__IASR__inc,EV71_JAP__IASR__inc,high95:EV71_JAP__IASR__inc,low95:CA16_JAP__IASR__inc,CA16_JAP__IASR__inc,high95:CA16_JAP__IASR__inc
0,523878,523878,523878,5922.8,5922.8,5922.8,2968.29,2968.29,2968.29,1.24193e+06,1.24193e+06,1.24193e+06,934614,934614,934614,56114.1,56114.1,56114.1,30220.8,30220.8,30220.8,206308,206308,206308,210077,210077,210077,1.96841e+06,1.96841e+06,1.96841e+06,2.15772e+06,2.15772e+06,2.15772e+06,1.1937e+08,1.1937e+08,1.1937e+08,0,0,0,0,0,0
1,524614,524614,524614,6168.42,6168.42,6168.42,2909.85,2909.85,2909.85,1.24245e+06,1.24245e+06,1.24245e+06,932842,932842,932842,58018.4,58018.4,58018.4,29440.3,29440.3,29440.3,203109,203109,203109,215719,215719,215719,2.02229e+06,2.02229e+06,2.02229e+06,2.12151e+06,2.12151e+06,2.12151e+06,1.19349e+08,1.19349e+08,1.19349e+08,52.5122,52.5122,52.5122,19.8239,19.8239,19.8239
2,524999,524999,524999,6387.38,6387.38,6387.38,2838.93,2838.93,2838.93,1.24339e+06,1.24339e+06,1.24339e+06,930524,930524,930524,59992.5,59992.5,59992.5,28701.1,28701.1,28701.1,199895,199895,199895,221699,221699,221699,2.07878e+06,2.07878e+06,2.07878e+06,2.08517e+06,2.08517e+06,2.08517e+06,1.19335e+08,1.19335e+08,1.19335e+08,54.3204,54.3204,54.3204,19.3254,19.3254,19.3254
3,525035,525035,525035,6605.12,6605.12,6605.12,2767.77,2767.77,2767.77,1.24474e+06,1.24474e+06,1.24474e+06,927662,927662,927662,61991.1,61991.1,61991.1,27986.4,27986.4,27986.4,196658,196658,196658,227972,227972,227972,2.13783e+06,2.13783e+06,2.13783e+06,2.04878e+06,2.04878e+06,2.04878e+06,1.19318e+08,1.19318e+08,1.19318e+08,56.1563,56.1563,56.1563,18.8428,18.8428,18.8428
4,524726,524726,524726,6820.87,6820.87,6820.87,2696.84,2696.84,2696.84,1.24652e+06,1.24652e+06,1.24652e+06,924262,924262,924262,63993.8,63993.8,63993.8,27291.5,27291.5,27291.5,193398,193398,193398,234520,234520,234520,2.19934e+06,2.19934e+06,2.19934e+06,2.01241e+06,2.01241e+06,2.01241e+06,1.19299e+08,1.19299e+08,1.19299e+08,58.003,58.003,58.003,18.3736,18.3736,18.3736
5,524088,524088,524088,7032.21,7032.21,7032.21,2625.96,2625.96,2625.96,1.24874e+06,1.24874e+06,1.24874e+06,920335,920335,920335,65979.1,65979.1,65979.1,26613.3,26613.3,26613.3,190118,190118,190118,241316,241316,241316,2.26315e+06,2.26315e+06,2.26315e+06,1.97612e+06,1.97612e+06,1.97612e+06,1.19277e+08,1.19277e+08,1.19277e+08,59.8416,59.8416,59.8416,17.9156,17.9156,17.9156
6,523140,523140,523140,7236.63,7236.63,7236.63,2555.05,2555.05,2555.05,1.2514e+06,1.2514e+06,1.2514e+06,915899,915899,915899,67924.4,67924.4,67924.4,25948.9,25948.9,25948.9,186819,186819,186819,248330,248330,248330,2.32906e+06,2.32906e+06,2.32906e+06,1.93995e+06,1.93995e+06,1.93995e+06,1.19254e+08,1.19254e+08,1.19254e+08,61.6518,61.6518,61.6518,17.4666,17.4666,17.4666
7,521907,521907,521907,7431.62,7431.62,7431.62,2484.11,2484.11,2484.11,1.25451e+06,1.25451e+06,1.25451e+06,910974,910974,910974,69805.6,69805.6,69805.6,25295.9,25295.9,25295.9,183501,183501,183501,255527,255527,255527,2.39677e+06,2.39677e+06,2.39677e+06,1.90392e+06,1.90392e+06,1.90392e+06,1.19229e+08,1.19229e+08,1.19229e+08,63.4118,63.4118,63.4118,17.0253,17.0253,17.0253
8,520421,520421,520421,7614.73,7614.73,7614.73,2413.19,2413.19,2413.19,1.25808e+06,1.25808e+06,1.25808e+06,905587,905587,905587,71598.4,71598.4,71598.4,24652.7,24652.7,24652.7,180166,180166,180166,262864,262864,262864,2.46599e+06,2.46599e+06,2.46599e+06,1.86806e+06,1.86806e+06,1.86806e+06,1.19202e+08,1.19202e+08,1.19202e+08,65.0996,65.0996,65.0996,16.5904,16.5904,16.5904
9,518720,518720,518720,7783.67,7783.67,7783.67,2342.42,2342.42,2342.42,1.26212e+06,1.26212e+06,1.26212e+06,899772,899772,899772,73278.8,73278.8,73278.8,24018.1,24018.1,24018.1,176815,176815,176815,270295,270295,270295,2.53631e+06,2.53631e+06,2.53631e+06,1.83238e+06,1.83238e+06,1.83238e+06,1.19174e+08,1.19174e+08,1.19174e+08,66.6929,66.6929,66.6929,16.161,16.161,16.161
10,516844,516844,516844,7936.37,7936.37,7936.37,2271.99,2271.99,2271.99,1.26663e+06,1.26663e+06,1.26663e+06,893563,893563,893563,74823.9,74823.9,74823.9,23391.9,23391.9,23391.9,173449,173449,173449,277771,277771,277771,2.60732e+06,2.60732e+06,2.60732e+06,1.7969e+06,1.7969e+06,1.7969e+06,1.19146e+08,1.19146e+08,1.19146e+08,68.1703,68.1703,68.1703,15.7369,15.7369,15.7369
11,514840,514840,514840,8071.1,8071.1,8071.1,2202.14,2202.14,2202.14,1.27161e+06,1.27161e+06,1.27161e+06,887002,887002,887002,76212.8,76212.8,76212.8,22774,22774,22774,170071,170071,170071,285239,285239,285239,2.67856e+06,2.67856e+06,2.67856e+06,1.76164e+06,1.76164e+06,1.76164e+06,1.19117e+08,1.19117e+08,1.19117e+08,69.5121,69.5121,69.5121,15.3181,15.3181,15.3181
12,512753,512753,512753,8186.47,8186.47,8186.47,2133.18,2133.18,2133.18,1.27707e+06,1.27707e+06,1.27707e+06,880131,880131,880131,77427.2,77427.2,77427.2,22165.4,22165.4,22165.4,166684,166684,166684,292645,292645,292645,2.74952e+06,2.74952e+06,2.74952e+06,1.7266e+06,1.7266e+06,1.7266e+06,1.19089e+08,1.19089e+08,1.19089e+08,70.7005,70.7005,70.7005,14.905,14.905,14.905
13,510632,510632,510632,8281.56,8281.56,8281.56,2065.42,2065.42,2065.42,1.28302e+06,1.28302e+06,1.28302e+06,872996,872996,872996,78452.3,78452.3,78452.3,21567.3,21567.3,21567.3,163290,163290,163290,299935,299935,299935,2.8197e+06,2.8197e+06,2.8197e+06,1.6918e+06,1.6918e+06,1.6918e+06,1.19061e+08,1.19061e+08,1.19061e+08,71.7208,71.7208,71.7208,14.4985,14.4985,14.4985
14,508525,508525,508525,8355.89,8355.89,8355.89,1999.23,1999.23,1999.23,1.28944e+06,1.28944e+06,1.28944e+06,865643,865643,865643,79277.3,79277.3,79277.3,20981.3,20981.3,20981.3,159895,159895,159895,307056,307056,307056,2.88857e+06,2.88857e+06,2.88857e+06,1.65726e+06,1.65726e+06,1.65726e+06,1.19035e+08,1.19035e+08,1.19035e+08,72.5616,72.5616,72.5616,14.0997,14.0997,14.0997
15,506479,506479,506479,8409.43,8409.43,8409.43,1934.95,1934.95,1934.95,1.29633e+06,1.29633e+06,1.29633e+06,858118,858118,858118,79895.6,79895.6,79895.6,20409.6,20409.6,20409.6,156504,156504,156504,313957,313957,313957,2.95562e+06,2.95562e+06,2.95562e+06,1.62301e+06,1.62301e+06,1.62301e+06,1.1901e+08,1.1901e+08,1.1901e+08,73.2156,73.2156,73.2156,13.7099,13.7099,13.7099
16,504539,504539,504539,8442.62,8442.62,8442.62,1872.93,1872.93,1872.93,1.30368e+06,1.30368e+06,1.30368e+06,850467,850467,850467,80305,80305,80305,19854.5,19854.5,19854.5,153122,153122,153122,320590,320590,320590,3.02033e+06,3.02033e+06,3.02033e+06,1.58907e+06,1.58907e+06,1.58907e+06,1.18987e+08,1.18987e+08,1.18987e+08,73.6791,73.6791,73.6791,13.3307,13.3307,13.3307
17,502744,502744,502744,8456.29,8456.29,8456.29,1813.52,1813.52,1813.52,1.31149e+06,1.31149e+06,1.31149e+06,842734,842734,842734,80507.8,80507.8,80507.8,19318.4,19318.4,19318.4,149756,149756,149756,326913,326913,326913,3.08224e+06,3.08224e+06,3.08224e+06,1.55547e+06,1.55547e+06,1.55547e+06,1.18966e+08,1.18966e+08,1.18966e+08,73.953,73.953,73.953,12.9637,12.9637,12.9637
18,501132,501132,501132,8451.65,8451.65,8451.65,1757.03,1757.03,1757.03,1.31974e+06,1.31974e+06,1.31974e+06,834959,834959,834959,80510.6,80510.6,80510.6,18803.9,18803.9,18803.9,146413,146413,146413,332888,332888,332888,3.14092e+06,3.14092e+06,3.14092e+06,1.52226e+06,1.52226e+06,1.52226e+06,1.18949e+08,1.18949e+08,1.18949e+08,74.0416,74.0416,74.0416,12.6107,12.6107,12.6107
19,499736,499736,499736,8430.19,8430.19,8430.19,1703.73,1703.73,1703.73,1.32841e+06,1.32841e+06,1.32841e+06,827182,827182,827182,80323.5,80323.5,80323.5,18313.5,18313.5,18313.5,143101,143101,143101,338483,338483,338483,3.19597e+06,3.19597e+06,3.19597e+06,1.48948e+06,1.48948e+06,1.48948e+06,1.18934e+08,1.18934e+08,1.18934e+08,73.9531,73.9531,73.9531,12.2734,12.2734,12.2734
20,498581,498581,498581,8393.63,8393.63,8393.63,1653.88,1653.88,1653.88,1.33749e+06,1.33749e+06,1.33749e+06,819435,819435,819435,79960.1,79960.1,79960.1,17849.8,17849.8,17849.8,139828,139828,139828,343675,343675,343675,3.24708e+06,3.24708e+06,3.24708e+06,1.45719e+06,1.45719e+06,1.45719e+06,1.18923e+08,1.18923e+08,1.18923e+08,73.6988,73.6988,73.6988,11.9535,11.9535,11.9535
