index,time,SS:Japan__all,IS:Japan__all,SI:Japan__all,RS:Japan__all,SR:Japan__all,IR:Japan__all,RI:Japan__all,SQ:Japan__all,QS:Japan__all,QR:Japan__all,RQ:Japan__all,RR:Japan__all,obs_mean:EV71_JAP__IASR__inc,obs_mean:CA16_JAP__IASR__inc,obs_real:EV71_JAP__IASR__inc,obs_real:CA16_JAP__IASR__inc
0,0,2.50921e+06,1.18943,2557.7,5.92465e+06,5.00907e+06,1.96899,4656.09,1.30841e+06,365097,1.88237e+06,7.66682e+06,1.02036e+08,0,0,0,0
0,1,2.52431e+06,1.25527,2679.17,5.92965e+06,5.03967e+06,2.06484,4833.03,1.28431e+06,352225,1.816e+06,7.52079e+06,1.02234e+08,0.0055779,4.63242,0.183875,4.23139
0,2,2.53902e+06,1.32325,2825.62,5.93387e+06,5.06864e+06,2.17289,5073.86,1.2622e+06,339808,1.75198e+06,7.3859e+06,1.02428e+08,0.00586887,4.84799,0,2.72446
0,3,2.55323e+06,1.39654,3007.12,5.93724e+06,5.09587e+06,2.28951,5376.29,1.2423e+06,327830,1.69023e+06,7.26333e+06,1.02607e+08,0.00618408,5.12183,0,4.24711
0,4,2.56683e+06,1.47514,3227.86,5.93967e+06,5.12123e+06,2.41442,5746.49,1.22483e+06,316276,1.63065e+06,7.15438e+06,1.02772e+08,0.006523,5.45969,0.0142205,4.49726
0,5,2.57969e+06,1.55886,3492.39,5.94108e+06,5.14456e+06,2.54732,6192.03,1.21007e+06,305130,1.57318e+06,7.06049e+06,1.02919e+08,0.00688496,5.86867,0.111268,3.90918
0,6,2.59169e+06,1.64736,3805.92,5.94135e+06,5.16571e+06,2.68768,6721.56,1.19831e+06,294377,1.51774e+06,6.98327e+06,1.03049e+08,0.00726882,6.35695,0,6.57607
0,7,2.60266e+06,1.74008,4174.12,5.94039e+06,5.18447e+06,2.83466,7344.58,1.18989e+06,284005,1.46426e+06,6.92454e+06,1.03159e+08,0.00767264,6.93371,0.0249689,8.12774
0,8,2.61245e+06,1.83618,4602.86,5.93804e+06,5.20066e+06,2.98699,8071.03,1.18517e+06,274000,1.41268e+06,6.8863e+06,1.03247e+08,0.00809342,7.60874,0.0548935,5.93803
0,9,2.62086e+06,1.93445,5097.8,5.93417e+06,5.21404e+06,3.14281,8910.61,1.18455e+06,264349,1.36292e+06,6.87075e+06,1.03312e+08,0.00852676,8.39193,0,7.52971
0,10,2.6277e+06,2.03324,5663.74,5.92862e+06,5.22437e+06,3.29959,9871.77,1.18848e+06,255039,1.31491e+06,6.88023e+06,1.03352e+08,0.00896644,9.29239,0,5.77609
0,11,2.63276e+06,2.13037,6303.77,5.92121e+06,5.23141e+06,3.45402,10960.3,1.1974e+06,246058,1.26861e+06,6.91719e+06,1.03364e+08,0.00940413,10.3172,0.00592648,8.49759
0,12,2.63582e+06,2.22308,7018.08,5.91179e+06,5.23493e+06,3.60187,12177.4,1.21176e+06,237396,1.22394e+06,6.98408e+06,1.03345e+08,0.00982909,11.4699,0.0574162,12.1724
