time,low95:SS:Japan__all,SS:Japan__all,high95:SS:Japan__all,low95:IS:Japan__all,IS:Japan__all,high95:IS:Japan__all,low95:SI:Japan__all,SI:Japan__all,high95:SI:Japan__all,low95:RS:Japan__all,RS:Japan__all,high95:RS:Japan__all,low95:SR:Japan__all,SR:Japan__all,high95:SR:Japan__all,low95:IR:Japan__all,IR:Japan__all,high95:IR:Japan__all,low95:RI:Japan__all,RI:Japan__all,high95:RI:Japan__all,low95:SQ:Japan__all,SQ:Japan__all,high95:SQ:Japan__all,low95:QS:Japan__all,QS:Japan__all,high95:QS:Japan__all,low95:QR:Japan__all,QR:Japan__all,high95:QR:Japan__all,low95:RQ:Japan__all,RQ:Japan__all,high95:RQ:Japan__all,low95:RR:Japan__all,RR:Japan__all,high95:RR:Japan__all,low95:EV71_JAP__IASR__inc,EV71_JAP__IASR__inc,high95:EV71_JAP__IASR__inc,low95:CA16_JAP__IASR__inc,CA16_JAP__IASR__inc,high95:CA16_JAP__IASR__inc
0,3.01302e+06,3.01302e+06,3.01302e+06,3213.09,3213.09,3213.09,3058.88,3058.88,3058.88,3.94108e+06,3.94108e+06,3.94108e+06,3.60485e+06,3.60485e+06,3.60485e+06,5009.37,5009.37,5009.37,5026.35,5026.35,5026.35,398494,398494,398494,438739,438739,438739,5.09546e+06,5.09546e+06,5.09546e+06,4.87799e+06,4.87799e+06,4.87799e+06,1.05323e+08,1.05323e+08,1.05323e+08,0,0,0,0,0,0
1,3.01589e+06,3.01589e+06,3.01589e+06,3270.32,3270.32,3270.32,3113.96,3113.96,3113.96,3.9414e+06,3.9414e+06,3.9414e+06,3.60514e+06,3.60514e+06,3.60514e+06,5075.76,5075.76,5075.76,5094.9,5094.9,5094.9,398332,398332,398332,438548,438548,438548,5.09163e+06,5.09163e+06,5.09163e+06,4.8745e+06,4.8745e+06,4.8745e+06,1.05326e+08,1.05326e+08,1.05326e+08,9.074,9.074,9.074,6.98747,6.98747,6.98747
2,3.01845e+06,3.01845e+06,3.01845e+06,3320.23,3320.23,3320.23,3161.99,3161.99,3161.99,3.94139e+06,3.94139e+06,3.94139e+06,3.60513e+06,3.60513e+06,3.60513e+06,5148.62,5148.62,5148.62,5168.87,5168.87,5168.87,398495,398495,398495,438711,438711,438711,5.09177e+06,5.09177e+06,5.09177e+06,4.87485e+06,4.87485e+06,4.87485e+06,1.05332e+08,1.05332e+08,1.05332e+08,9.2092,9.2092,9.2092,7.09301,7.09301,7.09301
3,3.02071e+06,3.02071e+06,3.02071e+06,3368.75,3368.75,3368.75,3208.42,3208.42,3208.42,3.94109e+06,3.94109e+06,3.94109e+06,3.60485e+06,3.60485e+06,3.60485e+06,5219.81,5219.81,5219.81,5240.69,5240.69,5240.69,398951,398951,398951,439195,439195,439195,5.09561e+06,5.09561e+06,5.09561e+06,4.87875e+06,4.87875e+06,4.87875e+06,1.0533e+08,1.0533e+08,1.0533e+08,9.34213,9.34213,9.34213,7.19613,7.19613,7.19613
4,3.02267e+06,3.02267e+06,3.02267e+06,3415.56,3415.56,3415.56,3252.97,3252.97,3252.97,3.94051e+06,3.94051e+06,3.94051e+06,3.60433e+06,3.60433e+06,3.60433e+06,5288.39,5288.39,5288.39,5309.45,5309.45,5309.45,399675,399675,399675,439972,439972,439972,5.10281e+06,5.10281e+06,5.10281e+06,4.88587e+06,4.88587e+06,4.88587e+06,1.05321e+08,1.05321e+08,1.05321e+08,9.471,9.471,9.471,7.29552,7.29552,7.29552
5,3.02437e+06,3.02437e+06,3.02437e+06,3460.17,3460.17,3460.17,3295.18,3295.18,3295.18,3.93969e+06,3.93969e+06,3.93969e+06,3.60358e+06,3.60358e+06,3.60358e+06,5353.62,5353.62,5353.62,5374.48,5374.48,5374.48,400637,400637,400637,441014,441014,441014,5.11306e+06,5.11306e+06,5.11306e+06,4.89587e+06,4.89587e+06,4.89587e+06,1.05308e+08,1.05308e+08,1.05308e+08,9.59445,9.59445,9.59445,7.39017,7.39017,7.39017
6,3.0258e+06,3.0258e+06,3.0258e+06,3502.17,3502.17,3502.17,3334.69,3334.69,3334.69,3.93866e+06,3.93866e+06,3.93866e+06,3.60264e+06,3.60264e+06,3.60264e+06,5414.91,5414.91,5414.91,5435.2,5435.2,5435.2,401809,401809,401809,442290,442290,442290,5.12598e+06,5.12598e+06,5.12598e+06,4.9084e+06,4.9084e+06,4.9084e+06,1.05289e+08,1.05289e+08,1.05289e+08,9.71126,9.71126,9.71126,7.4792,7.4792,7.4792
7,3.02699e+06,3.02699e+06,3.02699e+06,3541.23,3541.23,3541.23,3371.22,3371.22,3371.22,3.93745e+06,3.93745e+06,3.93745e+06,3.60155e+06,3.60155e+06,3.60155e+06,5471.77,5471.77,5471.77,5491.16,5491.16,5491.16,403160,403160,403160,443767,443767,443767,5.14123e+06,5.14123e+06,5.14123e+06,4.92309e+06,4.92309e+06,4.92309e+06,1.05266e+08,1.05266e+08,1.05266e+08,9.82043,9.82043,9.82043,7.56189,7.56189,7.56189
8,3.02796e+06,3.02796e+06,3.02796e+06,3577.1,3577.1,3577.1,3404.54,3404.54,3404.54,3.93609e+06,3.93609e+06,3.93609e+06,3.60031e+06,3.60031e+06,3.60031e+06,5523.82,5523.82,5523.82,5542.02,5542.02,5542.02,404660,404660,404660,445415,445415,445415,5.15843e+06,5.15843e+06,5.15843e+06,4.93958e+06,4.93958e+06,4.93958e+06,1.05239e+08,1.05239e+08,1.05239e+08,9.92116,9.92116,9.92116,7.63769,7.63769,7.63769
9,3.02873e+06,3.02873e+06,3.02873e+06,3609.58,3609.58,3609.58,3434.5,3434.5,3434.5,3.93462e+06,3.93462e+06,3.93462e+06,3.59898e+06,3.59898e+06,3.59898e+06,5570.8,5570.8,5570.8,5587.56,5587.56,5587.56,406281,406281,406281,447201,447201,447201,5.17723e+06,5.17723e+06,5.17723e+06,4.95753e+06,4.95753e+06,4.95753e+06,1.05209e+08,1.05209e+08,1.05209e+08,10.0129,10.0129,10.0129,7.70618,7.70618,7.70618
