index,time,SS:Japan__all,IS:Japan__all,SI:Japan__all,RS:Japan__all,SR:Japan__all,IR:Japan__all,RI:Japan__all,SQ:Japan__all,QS:Japan__all,QR:Japan__all,RQ:Japan__all,obs_mean:EV71_JAP__IASR__inc,obs_mean:VAC_JAP__IASR__inc,obs_mean:CA16_JAP__IASR__inc,obs_real:EV71_JAP__IASR__inc,obs_real:VAC_JAP__IASR__inc,obs_real:CA16_JAP__IASR__inc
0,781,3.07496e+06,8337.33,10239.2,2.42036e+06,5.70827e+06,11789.1,6389.71,983366,269216,3.91035e+06,8.92475e+06,3.78565,3.66804e-17,4.05834,1.38073,3.68798e-09,2.83129
0,782,3.07482e+06,8620.96,10166.7,2.41627e+06,5.71021e+06,12193.8,6333.37,978405,275636,4.00764e+06,8.8714e+06,3.91592,3.66804e-17,4.0277,0.598333,0,5.24782
0,783,3.07446e+06,8909.92,10089.7,2.41224e+06,5.71167e+06,12606.8,6275.44,973399,282355,4.10927e+06,8.81777e+06,4.04892,3.66804e-17,3.99563,2.31237,0,5.45322
0,784,3.07387e+06,9203.73,10008.4,2.40829e+06,5.71268e+06,13027,6215.69,968334,289369,4.21523e+06,8.76379e+06,4.18439,3.66804e-17,3.96209,6.43232,1.13036e-08,3.95389
0,785,3.07305e+06,9501.76,9922.66,2.40443e+06,5.71321e+06,13453.5,6154.05,963201,296677,4.32547e+06,8.70936e+06,4.32202,3.66804e-17,3.92702,9.46028,3.36443e-09,2.63717
0,786,3.07201e+06,9803.25,9832.54,2.40066e+06,5.71329e+06,13885.1,6090.46,957988,304274,4.43994e+06,8.65439e+06,4.46148,3.66804e-17,3.89042,4.76254,0,3.30704
0,787,3.07075e+06,10107.4,9738.01,2.39699e+06,5.7129e+06,14320.6,6024.94,952684,312157,4.55854e+06,8.59881e+06,4.60238,3.66804e-17,3.85228,0.740252,0,2.06024
0,788,3.06927e+06,10413.1,9639.11,2.39344e+06,5.71206e+06,14758.7,5957.51,947280,320317,4.68118e+06,8.54252e+06,4.74432,3.66804e-17,3.81259,4.71005,7.78478e-09,2.52015
0,789,3.06757e+06,10719.6,9535.91,2.39001e+06,5.71076e+06,15197.9,5888.22,941766,328748,4.80774e+06,8.48545e+06,4.88683,3.66804e-17,3.7714,5.41635,2.25784e-09,1.91316
0,790,3.06566e+06,11025.5,9428.54,2.38673e+06,5.70902e+06,15636.6,5817.16,936134,337439,4.93804e+06,8.42754e+06,5.02943,3.66804e-17,3.72873,0.317509,0,6.22318
0,791,3.06355e+06,11329.9,9317.17,2.38359e+06,5.70684e+06,16073.2,5744.43,930374,346380,5.07192e+06,8.36872e+06,5.17159,3.66804e-17,3.68465,8.31437,1.21528e-08,6.39119
0,792,3.06124e+06,11631.5,9201.99,2.38061e+06,5.70422e+06,16505.9,5670.13,924480,355556,5.20918e+06,8.30894e+06,5.31275,3.66804e-17,3.63923,3.16702,0,5.05672
0,793,3.05875e+06,11929,9083.26,2.3778e+06,5.70118e+06,16932.9,5594.43,918447,364954,5.34957e+06,8.24816e+06,5.45233,3.66804e-17,3.59255,5.47692,0,1.3113
0,794,3.05608e+06,12221,8961.26,2.37518e+06,5.69773e+06,17352.2,5517.49,912268,374556,5.49284e+06,8.18634e+06,5.58972,3.66804e-17,3.54472,1.99684,7.53703e-09,0.0928319
0,795,3.05324e+06,12506.2,8836.31,2.37276e+06,5.69388e+06,17761.9,5439.49,905941,384344,5.63871e+06,8.12344e+06,5.72428,3.66804e-17,3.49585,5.32317,0,5.82892
0,796,3.05025e+06,12783.3,8708.78,2.37055e+06,5.68964e+06,18159.9,5360.63,899461,394298,5.78685e+06,8.05946e+06,5.85539,3.66804e-17,3.44607,8.394,2.94411e-10,1.05291
0,797,3.04711e+06,13050.9,8579.05,2.36857e+06,5.68502e+06,18544.3,5281.13,892829,404396,5.93694e+06,7.99439e+06,5.98239,3.66804e-17,3.39553,5.00721,1.81075e-11,4.48815
0,798,3.04385e+06,13307.6,8447.54,2.36683e+06,5.68004e+06,18913.1,5201.22,886043,414614,6.08861e+06,7.92823e+06,6.10464,3.66804e-17,3.34437,9.80648,0,2.30192
0,799,3.04048e+06,13552.1,8314.68,2.36533e+06,5.67473e+06,19264.4,5121.14,879105,424927,6.24147e+06,7.86101e+06,6.2215,3.66804e-17,3.29277,1.4662,7.236e-09,4.69265
