index,time,SS:Japan__all,IS:Japan__all,SI:Japan__all,RS:Japan__all,SR:Japan__all,IR:Japan__all,RI:Japan__all,SQ:Japan__all,QS:Japan__all,QR:Japan__all,RQ:Japan__all,obs_mean:EV71_JAP__IASR__inc,obs_mean:VAC_JAP__IASR__inc,obs_mean:CA16_JAP__IASR__inc,obs_real:EV71_JAP__IASR__inc,obs_real:VAC_JAP__IASR__inc,obs_real:CA16_JAP__IASR__inc
0,781,2.98261e+06,3703.78,18567.2,2.73778e+06,5.07439e+06,4810.58,13372.1,1.02336e+06,373475,5.16978e+06,9.65796e+06,1.65042,3.66804e-17,7.74394,0.0625068,3.68798e-09,6.04895
0,782,2.97891e+06,3606.67,18650,2.73382e+06,5.07245e+06,4688.74,13431,1.03935e+06,367319,5.08214e+06,9.81227e+06,1.60777,3.66804e-17,7.78407,0,0,9.48027
0,783,2.97525e+06,3513.24,18706.2,2.72969e+06,5.07109e+06,4571.44,13469.4,1.05495e+06,361195,4.99518e+06,9.96255e+06,1.56667,3.66804e-17,7.81281,0.486461,0,9.851
0,784,2.97167e+06,3423.52,18735.9,2.72542e+06,5.07034e+06,4459.03,13487.7,1.0701e+06,355109,4.90897e+06,1.01082e+07,1.52717,3.66804e-17,7.83014,2.88521,1.13036e-08,7.81862
0,785,2.96819e+06,3337.6,18739.4,2.72102e+06,5.07022e+06,4351.7,13485.9,1.08474e+06,349068,4.8236e+06,1.02488e+07,1.48935,3.66804e-17,7.83616,4.50563,3.36443e-09,6.01411
0,786,2.96483e+06,3255.62,18717.1,2.71652e+06,5.07075e+06,4249.63,13464.7,1.09883e+06,343077,4.73913e+06,1.03837e+07,1.45326,3.66804e-17,7.83106,1.62508,0,7.00337
0,787,2.96162e+06,3177.66,18670,2.71193e+06,5.07194e+06,4152.94,13424.6,1.11232e+06,337143,4.65566e+06,1.05125e+07,1.41894,3.66804e-17,7.81514,0,0,5.26269
0,788,2.95857e+06,3103.84,18599.1,2.70726e+06,5.0738e+06,4061.73,13366.4,1.12516e+06,331271,4.57324e+06,1.06348e+07,1.38645,3.66804e-17,7.78878,1.36792,7.78478e-09,5.94149
0,789,2.9557e+06,3034.21,18505.5,2.70253e+06,5.07634e+06,3976.08,13290.9,1.13731e+06,325468,4.49197e+06,1.07502e+07,1.35581,3.66804e-17,7.75249,1.63472,2.25784e-09,5.08826
0,790,2.95303e+06,2968.85,18390.8,2.69776e+06,5.07957e+06,3896.06,13199.2,1.14874e+06,319739,4.41191e+06,1.08584e+07,1.32705,3.66804e-17,7.70679,0,0,11.293
0,791,2.95058e+06,2907.79,18256.4,2.69296e+06,5.08348e+06,3821.7,13092.4,1.15943e+06,314091,4.33314e+06,1.09592e+07,1.30019,3.66804e-17,7.65232,2.876,1.21528e-08,11.5527
0,792,2.94836e+06,2851.06,18103.9,2.68814e+06,5.08808e+06,3753.03,12971.9,1.16935e+06,308529,4.25573e+06,1.10524e+07,1.27524,3.66804e-17,7.58975,0.223974,0,9.63681
0,793,2.94638e+06,2798.66,17935.2,2.68331e+06,5.09335e+06,3690.04,12838.7,1.17848e+06,303058,4.17974e+06,1.11377e+07,1.2522,3.66804e-17,7.5198,1.26399,0,4.21934
0,794,2.94465e+06,2750.6,17751.9,2.67849e+06,5.09929e+06,3632.74,12694.4,1.18681e+06,297684,4.10524e+06,1.1215e+07,1.23109,3.66804e-17,7.4432,0,7.53703e-09,2.44118
0,795,2.94318e+06,2706.85,17555.8,2.67367e+06,5.10589e+06,3581.1,12540.2,1.19433e+06,292412,4.0323e+06,1.12844e+07,1.21189,3.66804e-17,7.36071,1.02733,0,10.7461
0,796,2.94198e+06,2667.39,17348.8,2.66888e+06,5.11312e+06,3535.08,12377.4,1.20104e+06,287246,3.96098e+06,1.13458e+07,1.19459,3.66804e-17,7.27311,2.34123,2.94411e-10,3.79639
0,797,2.94105e+06,2632.19,17132.6,2.66411e+06,5.12096e+06,3494.66,12207.5,1.20695e+06,282191,3.89132e+06,1.13992e+07,1.17918,3.66804e-17,7.18115,0.746232,1.81075e-11,8.77011
0,798,2.94039e+06,2601.21,16908.9,2.65937e+06,5.1294e+06,3459.78,12031.8,1.21206e+06,277252,3.82339e+06,1.14447e+07,1.16565,3.66804e-17,7.08559,2.78325,0,5.56824
0,799,2.94001e+06,2574.4,16679.5,2.65467e+06,5.13842e+06,3430.38,11851.4,1.21638e+06,272433,3.75724e+06,1.14825e+07,1.15397,3.66804e-17,6.98715,0,7.236e-09,9.02636
0,800,2.9399e+06,2551.72,16445.9,2.65001e+06,5.14798e+06,3406.43,11667.6,1.21993e+06,267737,3.69291e+06,1.15127e+07,1.14414,3.66804e-17,6.88654,2.18409,3.33678e-09,8.07825
0,801,2.94006e+06,2533.12,16209.6,2.64539e+06,5.15805e+06,3387.86,11481.6,1.22273e+06,263168,3.63044e+06,1.15355e+07,1.13612,3.66804e-17,6.7844,0,8.25115e-09,5.31012
0,802,2.94049e+06,2518.56,15972.1,2.64081e+06,5.16861e+06,3374.62,11294.4,1.2248e+06,258729,3.56988e+06,1.15511e+07,1.12991,3.66804e-17,6.68138,0.314122,5.67456e-09,6.53137
0,803,2.94118e+06,2507.98,15734.7,2.63628e+06,5.17963e+06,3366.67,11107,1.22616e+06,254423,3.51127e+06,1.15598e+07,1.12548,3.66804e-17,6.57805,1.16769,7.81256e-09,8.65314
0,804,2.94212e+06,2501.35,15498.5,2.63179e+06,5.19107e+06,3363.97,10920.3,1.22685e+06,250254,3.45464e+06,1.15619e+07,1.12282,3.66804e-17,6.47495,2.34331,0,11.4666
0,805,2.94332e+06,2498.63,15264.6,2.62734e+06,5.2029e+06,3366.46,10735.1,1.22689e+06,246224,3.40003e+06,1.15576e+07,1.1219,3.66804e-17,6.37256,1.08859,0,6.59225
0,806,2.94476e+06,2499.77,15034.1,2.62294e+06,5.21508e+06,3374.14,10552.2,1.22631e+06,242335,3.34747e+06,1.15473e+07,1.12273,3.66804e-17,6.27133,1.24292,6.28696e-09,4.6939
0,807,2.94642e+06,2504.77,14807.8,2.61858e+06,5.22759e+06,3386.96,10372.3,1.22515e+06,238591,3.29699e+06,1.15313e+07,1.12527,3.66804e-17,6.17165,2.11395,6.43663e-09,8.79053
0,808,2.94831e+06,2513.59,14586.4,2.61426e+06,5.24039e+06,3404.92,10195.8,1.22344e+06,234992,3.24862e+06,1.15099e+07,1.12954,3.66804e-17,6.07387,1.25522,2.22185e-09,5.91206
0,809,2.95042e+06,2526.22,14370.7,2.60997e+06,5.25344e+06,3428.02,10023.4,1.22121e+06,231542,3.20238e+06,1.14835e+07,1.13552,3.66804e-17,5.97829,0.911234,3.35671e-09,5.57521
0,810,2.95272e+06,2542.65,14161.1,2.60572e+06,5.26671e+06,3456.26,9855.32,1.2185e+06,228242,3.1583e+06,1.14523e+07,1.14321,3.66804e-17,5.88518,0,0,8.85783
0,811,2.95521e+06,2562.9,13958.2,2.6015e+06,5.28017e+06,3489.66,9692.05,1.21535e+06,225095,3.11641e+06,1.14168e+07,1.15261,3.66804e-17,5.79474,1.87314,2.83385e-09,6.58611
0,812,2.95788e+06,2586.96,13762.3,2.59731e+06,5.29379e+06,3528.25,9533.83,1.21178e+06,222101,3.07673e+06,1.13773e+07,1.16374,3.66804e-17,5.70715,2.01637,0,6.92627
0,813,2.96072e+06,2614.86,13573.7,2.59314e+06,5.30753e+06,3572.08,9380.88,1.20783e+06,219264,3.03928e+06,1.13341e+07,1.17659,3.66804e-17,5.62257,2.02357,2.14875e-09,7.71858
0,814,2.96371e+06,2646.64,13392.7,2.589e+06,5.32137e+06,3621.19,9233.36,1.20354e+06,216583,3.0041e+06,1.12874e+07,1.19119,3.66804e-17,5.5411,0,0,3.19239
0,815,2.96684e+06,2682.32,13219.3,2.58488e+06,5.33526e+06,3675.66,9091.38,1.19894e+06,214063,2.9712e+06,1.12378e+07,1.20755,3.66804e-17,5.46281,1.04495,0,3.8116
0,816,2.97009e+06,2721.96,13053.7,2.58077e+06,5.34919e+06,3735.57,8955.01,1.19406e+06,211703,2.94061e+06,1.11854e+07,1.22569,3.66804e-17,5.38776,0.313182,3.73136e-10,7.38736
0,817,2.97347e+06,2765.62,12895.9,2.57667e+06,5.36313e+06,3801,8824.27,1.18893e+06,209506,2.91236e+06,1.11305e+07,1.24565,3.66804e-17,5.31598,1.40996,0,4.33184
0,818,2.97694e+06,2813.36,12745.9,2.57258e+06,5.37704e+06,3872.08,8699.14,1.18358e+06,207474,2.88647e+06,1.10736e+07,1.26744,3.66804e-17,5.24745,2.41329,0,5.26391
0,819,2.98051e+06,2865.27,12603.6,2.5685e+06,5.3909e+06,3948.9,8579.57,1.17804e+06,205608,2.86296e+06,1.10147e+07,1.29112,3.66804e-17,5.18217,0.521884,0,4.20967
0,820,2.98415e+06,2921.42,12468.9,2.56442e+06,5.40469e+06,4031.62,8465.48,1.17234e+06,203911,2.84188e+06,1.09542e+07,1.31671,3.66804e-17,5.12008,2.08924,6.96576e-09,3.75537
