time,low95:SS:Japan__all,SS:Japan__all,high95:SS:Japan__all,low95:IS:Japan__all,IS:Japan__all,high95:IS:Japan__all,low95:SI:Japan__all,SI:Japan__all,high95:SI:Japan__all,low95:RS:Japan__all,RS:Japan__all,high95:RS:Japan__all,low95:SR:Japan__all,SR:Japan__all,high95:SR:Japan__all,low95:IR:Japan__all,IR:Japan__all,high95:IR:Japan__all,low95:RI:Japan__all,RI:Japan__all,high95:RI:Japan__all,low95:SQ:Japan__all,SQ:Japan__all,high95:SQ:Japan__all,low95:QS:Japan__all,QS:Japan__all,high95:QS:Japan__all,low95:QR:Japan__all,QR:Japan__all,high95:QR:Japan__all,low95:RQ:Japan__all,RQ:Japan__all,high95:RQ:Japan__all,low95:EV71_JAP__IASR__inc,EV71_JAP__IASR__inc,high95:EV71_JAP__IASR__inc,low95:VAC_JAP__IASR__inc,VAC_JAP__IASR__inc,high95:VAC_JAP__IASR__inc,low95:CA16_JAP__IASR__inc,CA16_JAP__IASR__inc,high95:CA16_JAP__IASR__inc
781,2.85307e+06,2.85307e+06,2.85307e+06,4500.01,4500.01,4500.01,10357.7,10357.7,10357.7,2.75547e+06,2.75547e+06,2.75547e+06,5.82149e+06,5.82149e+06,5.82149e+06,6987.07,6987.07,6987.07,7864.22,7864.22,7864.22,1.03954e+06,1.03954e+06,1.03954e+06,208595,208595,208595,2.94665e+06,2.94665e+06,2.94665e+06,9.53817e+06,9.53817e+06,9.53817e+06,2.168,2.168,2.168,0.366804,0.366804,0.366804,4.44162,4.44162,4.44162
782,2.85509e+06,2.85509e+06,2.85509e+06,4623.47,4623.47,4623.47,10315.3,10315.3,10315.3,2.75206e+06,2.75206e+06,2.75206e+06,5.82841e+06,5.82841e+06,5.82841e+06,7181.81,7181.81,7181.81,7817.02,7817.02,7817.02,1.03499e+06,1.03499e+06,1.03499e+06,210609,210609,210609,2.97816e+06,2.97816e+06,2.97816e+06,9.48933e+06,9.48933e+06,9.48933e+06,2.2278,2.2278,2.2278,0.366804,0.366804,0.366804,4.41965,4.41965,4.41965
783,2.85702e+06,2.85702e+06,2.85702e+06,4751.22,4751.22,4751.22,10273.4,10273.4,10273.4,2.74866e+06,2.74866e+06,2.74866e+06,5.83503e+06,5.83503e+06,5.83503e+06,7383.44,7383.44,7383.44,7770.67,7770.67,7770.67,1.03047e+06,1.03047e+06,1.03047e+06,212803,212803,212803,3.01228e+06,3.01228e+06,3.01228e+06,9.44087e+06,9.44087e+06,9.44087e+06,2.28975,2.28975,2.28975,0.366804,0.366804,0.366804,4.39804,4.39804,4.39804
784,2.85885e+06,2.85885e+06,2.85885e+06,4883.31,4883.31,4883.31,10231.7,10231.7,10231.7,2.74526e+06,2.74526e+06,2.74526e+06,5.84134e+06,5.84134e+06,5.84134e+06,7591.94,7591.94,7591.94,7724.94,7724.94,7724.94,1.026e+06,1.026e+06,1.026e+06,215180,215180,215180,3.04902e+06,3.04902e+06,3.04902e+06,9.39279e+06,9.39279e+06,9.39279e+06,2.35383,2.35383,2.35383,0.366804,0.366804,0.366804,4.37668,4.37668,4.37668
785,2.86058e+06,2.86058e+06,2.86058e+06,5019.77,5019.77,5019.77,10190,10190,10190,2.74186e+06,2.74186e+06,2.74186e+06,5.84735e+06,5.84735e+06,5.84735e+06,7807.31,7807.31,7807.31,7679.64,7679.64,7679.64,1.02157e+06,1.02157e+06,1.02157e+06,217743,217743,217743,3.08843e+06,3.08843e+06,3.08843e+06,9.34508e+06,9.34508e+06,9.34508e+06,2.42006,2.42006,2.42006,0.366804,0.366804,0.366804,4.35549,4.35549,4.35549
786,2.8622e+06,2.8622e+06,2.8622e+06,5160.59,5160.59,5160.59,10148.1,10148.1,10148.1,2.73847e+06,2.73847e+06,2.73847e+06,5.85305e+06,5.85305e+06,5.85305e+06,8029.52,8029.52,8029.52,7634.61,7634.61,7634.61,1.01717e+06,1.01717e+06,1.01717e+06,220492,220492,220492,3.13054e+06,3.13054e+06,3.13054e+06,9.29772e+06,9.29772e+06,9.29772e+06,2.48844,2.48844,2.48844,0.366804,0.366804,0.366804,4.33436,4.33436,4.33436
787,2.86371e+06,2.86371e+06,2.86371e+06,5305.75,5305.75,5305.75,10105.8,10105.8,10105.8,2.73508e+06,2.73508e+06,2.73508e+06,5.85842e+06,5.85842e+06,5.85842e+06,8258.53,8258.53,8258.53,7589.7,7589.7,7589.7,1.0128e+06,1.0128e+06,1.0128e+06,223431,223431,223431,3.17536e+06,3.17536e+06,3.17536e+06,9.25069e+06,9.25069e+06,9.25069e+06,2.55896,2.55896,2.55896,0.366804,0.366804,0.366804,4.3132,4.3132,4.3132
788,2.8651e+06,2.8651e+06,2.8651e+06,5455.21,5455.21,5455.21,10063,10063,10063,2.73171e+06,2.73171e+06,2.73171e+06,5.86348e+06,5.86348e+06,5.86348e+06,8494.27,8494.27,8494.27,7544.76,7544.76,7544.76,1.00846e+06,1.00846e+06,1.00846e+06,226560,226560,226560,3.22293e+06,3.22293e+06,3.22293e+06,9.20397e+06,9.20397e+06,9.20397e+06,2.6316,2.6316,2.6316,0.366804,0.366804,0.366804,4.29193,4.29193,4.29193
789,2.86638e+06,2.86638e+06,2.86638e+06,5608.9,5608.9,5608.9,10019.2,10019.2,10019.2,2.72836e+06,2.72836e+06,2.72836e+06,5.86821e+06,5.86821e+06,5.86821e+06,8736.66,8736.66,8736.66,7499.64,7499.64,7499.64,1.00414e+06,1.00414e+06,1.00414e+06,229881,229881,229881,3.27327e+06,3.27327e+06,3.27327e+06,9.15752e+06,9.15752e+06,9.15752e+06,2.70633,2.70633,2.70633,0.366804,0.366804,0.366804,4.27046,4.27046,4.27046
790,2.86753e+06,2.86753e+06,2.86753e+06,5766.75,5766.75,5766.75,9974.49,9974.49,9974.49,2.72502e+06,2.72502e+06,2.72502e+06,5.87261e+06,5.87261e+06,5.87261e+06,8985.57,8985.57,8985.57,7454.22,7454.22,7454.22,999848,999848,999848,233396,233396,233396,3.32639e+06,3.32639e+06,3.32639e+06,9.1113e+06,9.1113e+06,9.1113e+06,2.78313,2.78313,2.78313,0.366804,0.366804,0.366804,4.2487,4.2487,4.2487
