time,low95:SS:Japan__all,SS:Japan__all,high95:SS:Japan__all,low95:IS:Japan__all,IS:Japan__all,high95:IS:Japan__all,low95:SI:Japan__all,SI:Japan__all,high95:SI:Japan__all,low95:RS:Japan__all,RS:Japan__all,high95:RS:Japan__all,low95:SR:Japan__all,SR:Japan__all,high95:SR:Japan__all,low95:IR:Japan__all,IR:Japan__all,high95:IR:Japan__all,low95:RI:Japan__all,RI:Japan__all,high95:RI:Japan__all,low95:SQ:Japan__all,SQ:Japan__all,high95:SQ:Japan__all,low95:QS:Japan__all,QS:Japan__all,high95:QS:Japan__all,low95:QR:Japan__all,QR:Japan__all,high95:QR:Japan__all,low95:RQ:Japan__all,RQ:Japan__all,high95:RQ:Japan__all,low95:EV71_JAP__IASR__inc,EV71_JAP__IASR__inc,high95:EV71_JAP__IASR__inc,low95:VAC_JAP__IASR__inc,VAC_JAP__IASR__inc,high95:VAC_JAP__IASR__inc,low95:CA16_JAP__IASR__inc,CA16_JAP__IASR__inc,high95:CA16_JAP__IASR__inc
782,2.07506e+06,2.07506e+06,2.07506e+06,2812.54,2812.54,2812.54,7739.18,7739.18,7739.18,3.84289e+06,3.84289e+06,3.84289e+06,6.5692e+06,6.5692e+06,6.5692e+06,6744.49,6744.49,6744.49,11032.9,11032.9,11032.9,936809,936809,936809,233597,233597,233597,3.17877e+06,3.17877e+06,3.17877e+06,8.50862e+06,8.50862e+06,8.50862e+06,1.82832,1.82832,1.82832,1.59927,1.59927,1.59927,4.56434,4.56434,4.56434
783,2.07506e+06,2.07506e+06,2.07506e+06,2812.51,2812.51,2812.51,7739.11,7739.11,7739.11,3.84289e+06,3.84289e+06,3.84289e+06,6.5692e+06,6.5692e+06,6.5692e+06,6744.52,6744.52,6744.52,11032.9,11032.9,11032.9,936809,936809,936809,233597,233597,233597,3.17877e+06,3.17877e+06,3.17877e+06,8.50862e+06,8.50862e+06,8.50862e+06,1.82832,1.82832,1.82832,1.59927,1.59927,1.59927,4.56434,4.56434,4.56434
784,2.07506e+06,2.07506e+06,2.07506e+06,2812.5,2812.5,2812.5,7739.09,7739.09,7739.09,3.84289e+06,3.84289e+06,3.84289e+06,6.5692e+06,6.5692e+06,6.5692e+06,6744.53,6744.53,6744.53,11033,11033,11033,936809,936809,936809,233597,233597,233597,3.17877e+06,3.17877e+06,3.17877e+06,8.50862e+06,8.50862e+06,8.50862e+06,1.82832,1.82832,1.82832,1.59927,1.59927,1.59927,4.56434,4.56434,4.56434
785,2.07506e+06,2.07506e+06,2.07506e+06,2812.49,2812.49,2812.49,7739.08,7739.08,7739.08,3.84289e+06,3.84289e+06,3.84289e+06,6.5692e+06,6.5692e+06,6.5692e+06,6744.54,6744.54,6744.54,11033,11033,11033,936809,936809,936809,233597,233597,233597,3.17877e+06,3.17877e+06,3.17877e+06,8.50862e+06,8.50862e+06,8.50862e+06,1.82832,1.82832,1.82832,1.59927,1.59927,1.59927,4.56434,4.56434,4.56434
786,2.07506e+06,2.07506e+06,2.07506e+06,2812.49,2812.49,2812.49,7739.08,7739.08,7739.08,3.84289e+06,3.84289e+06,3.84289e+06,6.5692e+06,6.5692e+06,6.5692e+06,6744.54,6744.54,6744.54,11033,11033,11033,936809,936809,936809,233597,233597,233597,3.17877e+06,3.17877e+06,3.17877e+06,8.50862e+06,8.50862e+06,8.50862e+06,1.82832,1.82832,1.82832,1.59927,1.59927,1.59927,4.56434,4.56434,4.56434
787,2.07506e+06,2.07506e+06,2.07506e+06,2812.49,2812.49,2812.49,7739.08,7739.08,7739.08,3.84289e+06,3.84289e+06,3.84289e+06,6.5692e+06,6.5692e+06,6.5692e+06,6744.54,6744.54,6744.54,11033,11033,11033,936809,936809,936809,233597,233597,233597,3.17877e+06,3.17877e+06,3.17877e+06,8.50862e+06,8.50862e+06,8.50862e+06,1.82832,1.82832,1.82832,1.59927,1.59927,1.59927,4.56434,4.56434,4.56434
788,2.07506e+06,2.07506e+06,2.07506e+06,2812.49,2812.49,2812.49,7739.08,7739.08,7739.08,3.84289e+06,3.84289e+06,3.84289e+06,6.5692e+06,6.5692e+06,6.5692e+06,6744.54,6744.54,6744.54,11033,11033,11033,936809,936809,936809,233597,233597,233597,3.17877e+06,3.17877e+06,3.17877e+06,8.50862e+06,8.50862e+06,8.50862e+06,1.82832,1.82832,1.82832,1.59927,1.59927,1.59927,4.56434,4.56434,4.56434
789,2.07506e+06,2.07506e+06,2.07506e+06,2812.49,2812.49,2812.49,7739.08,7739.08,7739.08,3.84289e+06,3.84289e+06,3.84289e+06,6.5692e+06,6.5692e+06,6.5692e+06,6744.54,6744.54,6744.54,11033,11033,11033,936809,936809,936809,233597,233597,233597,3.17877e+06,3.17877e+06,3.17877e+06,8.50862e+06,8.50862e+06,8.50862e+06,1.82832,1.82832,1.82832,1.59927,1.59927,1.59927,4.56434,4.56434,4.56434
790,2.07506e+06,2.07506e+06,2.07506e+06,2812.49,2812.49,2812.49,7739.08,7739.08,7739.08,3.84289e+06,3.84289e+06,3.84289e+06,6.5692e+06,6.5692e+06,6.5692e+06,6744.54,6744.54,6744.54,11033,11033,11033,936809,936809,936809,233597,233597,233597,3.17877e+06,3.17877e+06,3.17877e+06,8.50862e+06,8.50862e+06,8.50862e+06,1.82832,1.82832,1.82832,1.59927,1.59927,1.59927,4.56434,4.56434,4.56434
791,2.07506e+06,2.07506e+06,2.07506e+06,2812.49,2812.49,2812.49,7739.08,7739.08,7739.08,3.84289e+06,3.84289e+06,3.84289e+06,6.5692e+06,6.5692e+06,6.5692e+06,6744.54,6744.54,6744.54,11033,11033,11033,936809,936809,936809,233597,233597,233597,3.17877e+06,3.17877e+06,3.17877e+06,8.50862e+06,8.50862e+06,8.50862e+06,1.82832,1.82832,1.82832,1.59927,1.59927,1.59927,4.56434,4.56434,4.56434
