index,time,SS:Japan__all,IS:Japan__all,SI:Japan__all,RS:Japan__all,SR:Japan__all,IR:Japan__all,RI:Japan__all,SQ:Japan__all,QS:Japan__all,QR:Japan__all,RQ:Japan__all,RR:Japan__all,obs_mean:EV71_JAP__IASR__inc,obs_mean:CA16_JAP__IASR__inc,obs_real:EV71_JAP__IASR__inc,obs_real:CA16_JAP__IASR__inc
0,0,9.72638e+06,64281.8,62917.3,2.58177e+07,2.52829e+07,102433,102371,7.66781e+06,7.79217e+06,7.88851e+06,7.88773e+06,3.43132e+07,0,0,0,0
0,1,9.72505e+06,65616.5,64228,2.58093e+07,2.52743e+07,104563,104508,7.66916e+06,7.79367e+06,7.89052e+06,7.8896e+06,3.43179e+07,179.321,202.171,179.321,202.171
0,2,9.71641e+06,66858.6,65449.9,2.57954e+07,2.52602e+07,106559,106514,7.67409e+06,7.79881e+06,7.89826e+06,7.89723e+06,3.43314e+07,182.911,206.237,182.911,206.237
0,3,9.70143e+06,67904.5,66482.5,2.57767e+07,2.52413e+07,108294,108265,7.68213e+06,7.80709e+06,7.91097e+06,7.90988e+06,3.43454e+07,186.132,209.895,186.132,209.895
0,4,9.68149e+06,68687.1,67260.9,2.57544e+07,2.52189e+07,109655,109648,7.69258e+06,7.81781e+06,7.92759e+06,7.92649e+06,3.43601e+07,188.768,212.904,188.768,212.904
0,5,9.65825e+06,69157.7,67737.7,2.57298e+07,2.51943e+07,110553,110575,7.70461e+06,7.8301e+06,7.94677e+06,7.94573e+06,3.43757e+07,190.647,215.073,190.647,215.073
0,6,9.63358e+06,69292.8,67890,2.57045e+07,2.5169e+07,110935,110992,7.7173e+06,7.84301e+06,7.96706e+06,7.96616e+06,3.43922e+07,191.655,216.271,191.655,216.271
0,7,9.60934e+06,69095.8,67720.5,2.568e+07,2.51446e+07,110790,110888,7.72972e+06,7.85556e+06,7.98692e+06,7.98628e+06,3.44098e+07,191.746,216.447,191.746,216.447
0,8,9.58729e+06,68596.2,67257.2,2.56576e+07,2.51225e+07,110149,110290,7.74099e+06,7.86688e+06,8.00495e+06,8.00466e+06,3.44283e+07,190.948,215.631,190.948,215.631
0,9,9.56894e+06,67845.1,66549.1,2.56385e+07,2.51038e+07,109079,109266,7.75037e+06,7.87619e+06,8.01989e+06,8.02007e+06,3.44475e+07,189.359,213.926,189.359,213.926
0,10,9.55544e+06,66909.2,65659.8,2.56237e+07,2.50895e+07,107677,107908,7.75729e+06,7.88292e+06,8.03079e+06,8.03156e+06,3.44673e+07,187.13,211.5,187.13,211.5
0,11,9.54753e+06,65862.6,64661,2.56138e+07,2.50802e+07,106055,106328,7.76139e+06,7.88669e+06,8.03703e+06,8.03847e+06,3.44874e+07,184.448,208.56,184.448,208.56
0,12,9.54555e+06,64781.1,63625.2,2.56089e+07,2.50761e+07,104333,104641,7.76252e+06,7.88737e+06,8.03832e+06,8.04052e+06,3.45075e+07,181.518,205.332,181.518,205.332
0,13,9.54944e+06,63735.2,62620.7,2.5609e+07,2.50771e+07,102626,102963,7.76073e+06,7.885e+06,8.03473e+06,8.03776e+06,3.45272e+07,178.545,202.043,178.545,202.043
0,14,9.55877e+06,62786.9,61707.4,2.56136e+07,2.50826e+07,101036,101395,7.75625e+06,7.87986e+06,8.02662e+06,8.03052e+06,3.45464e+07,175.715,198.903,175.715,198.903
0,15,9.5728e+06,61986.9,60934.3,2.56222e+07,2.50922e+07,99652.7,100023,7.74946e+06,7.87233e+06,8.01463e+06,8.01941e+06,3.45647e+07,173.191,196.091,173.191,196.091
0,16,9.59058e+06,61373.8,60338.8,2.56338e+07,2.51048e+07,98543.6,98917,7.74086e+06,7.86294e+06,7.99957e+06,8.00522e+06,3.4582e+07,171.104,193.754,171.104,193.754
0,17,9.61098e+06,60973.7,59946.2,2.56476e+07,2.51196e+07,97758,98124.7,7.73102e+06,7.85229e+06,7.98239e+06,7.98888e+06,3.45981e+07,169.551,192.001,169.551,192.001
0,18,9.63275e+06,60800.7,59770.2,2.56625e+07,2.51355e+07,97325.9,97676.2,7.72056e+06,7.84104e+06,7.96414e+06,7.97139e+06,3.46129e+07,168.595,190.903,168.595,190.903
0,19,9.65463e+06,60857.4,59813.2,2.56775e+07,2.51514e+07,97258.4,97582.9,7.71012e+06,7.82985e+06,7.94585e+06,7.95379e+06,3.46265e+07,168.268,190.494,168.268,190.494
0,20,9.67536e+06,61135.5,60067.2,2.56915e+07,2.51663e+07,97549.2,97838.5,7.70029e+06,7.81934e+06,7.92855e+06,7.93706e+06,3.46388e+07,168.567,190.775,168.567,190.775
0,21,9.69379e+06,61616.1,60513.7,2.57037e+07,2.51792e+07,98174.8,98420.2,7.69165e+06,7.81012e+06,7.91318e+06,7.92213e+06,3.465e+07,169.464,191.711,184.563,186.53
0,22,9.70889e+06,62270.3,61124.9,2.57132e+07,2.51894e+07,99095.4,99288.7,7.68467e+06,7.80268e+06,7.90055e+06,7.90979e+06,3.46602e+07,170.898,193.237,174.259,197.821
0,23,9.71983e+06,63059.7,61863.7,2.57195e+07,2.51962e+07,100256,100390,7.67973e+06,7.79744e+06,7.89132e+06,7.90068e+06,3.46696e+07,172.783,195.257,183.529,220.902
0,24,9.72605e+06,63937.8,62685.2,2.57222e+07,2.51991e+07,101587,101657,7.67711e+06,7.79467e+06,7.88594e+06,7.89524e+06,3.46785e+07,175.008,197.647,206.128,174.44
0,25,9.72724e+06,64851.4,63538.8,2.5721e+07,2.51979e+07,103009,103011,7.67691e+06,7.79448e+06,7.88463e+06,7.8937e+06,3.4687e+07,177.44,200.26,178.22,221.003
0,26,9.72344e+06,65743.9,64370.1,2.5716e+07,2.51928e+07,104433,104366,7.6791e+06,7.79687e+06,7.88738e+06,7.89603e+06,3.46955e+07,179.929,202.934,162.533,193.827
0,27,9.71498e+06,66558.2,65125.1,2.57075e+07,2.5184e+07,105769,105634,7.68349e+06,7.80162e+06,7.89393e+06,7.90197e+06,3.47041e+07,182.32,205.496,214.528,207.254
0,28,9.70252e+06,67241.3,65753.8,2.56961e+07,2.51721e+07,106930,106732,7.68976e+06,7.80841e+06,7.90375e+06,7.91103e+06,3.47131e+07,184.457,207.778,190.58,205.154
0,29,9.68697e+06,67748.8,66214.4,2.56825e+07,2.51578e+07,107840,107586,7.69745e+06,7.81675e+06,7.91613e+06,7.92251e+06,3.47226e+07,186.203,209.629,199.505,198.358
0,30,9.66943e+06,68048.4,66477.1,2.56676e+07,2.51421e+07,108439,108139,7.70602e+06,7.82606e+06,7.93018e+06,7.93555e+06,3.47328e+07,187.442,210.925,189.841,208.663
0,31,9.65114e+06,68123.4,66526.8,2.56524e+07,2.51259e+07,108691,108357,7.71485e+06,7.83573e+06,7.94492e+06,7.94919e+06,3.47436e+07,188.097,211.584,213.424,195.734
0,32,9.63336e+06,67973.7,66364.3,2.56379e+07,2.51104e+07,108585,108231,7.72335e+06,7.84509e+06,7.95932e+06,7.96247e+06,3.47552e+07,188.134,211.571,186.516,192.97
0,33,9.61725e+06,67615.5,66005.9,2.5625e+07,2.50964e+07,108137,107776,7.73094e+06,7.85353e+06,7.9724e+06,7.97443e+06,3.47673e+07,187.564,210.898,178.759,221.393
0,34,9.60388e+06,67079.3,65481,2.56145e+07,2.50848e+07,107386,107030,7.73712e+06,7.86054e+06,7.98331e+06,7.98426e+06,3.478e+07,186.442,209.628,182.275,208.321
0,35,9.59405e+06,66406.1,64829.3,2.56071e+07,2.50763e+07,106389,106051,7.74151e+06,7.86569e+06,7.99136e+06,7.99129e+06,3.47931e+07,184.858,207.862,173.02,202.993
0,36,9.58834e+06,65643.7,64096.6,2.56031e+07,2.50713e+07,105220,104909,7.74384e+06,7.86869e+06,7.99605e+06,7.99508e+06,3.48063e+07,182.93,205.728,176.625,209.001
0,37,9.58705e+06,64842.4,63330.9,2.56028e+07,2.50701e+07,103956,103680,7.74399e+06,7.86942e+06,7.99714e+06,7.99538e+06,3.48195e+07,180.791,203.373,188.058,213.586
0,38,9.5902e+06,64051.1,62578.6,2.56061e+07,2.50726e+07,102675,102440,7.74199e+06,7.86786e+06,7.99461e+06,7.99219e+06,3.48323e+07,178.578,200.948,185.604,185.89
0,39,9.59754e+06,63314.5,61882.2,2.56129e+07,2.50786e+07,101451,101260,7.73796e+06,7.86416e+06,7.98864e+06,7.98571e+06,3.48448e+07,176.422,198.595,166.149,203.508
0,40,9.60864e+06,62670.7,61278.1,2.56226e+07,2.50878e+07,100350,100203,7.73217e+06,7.85858e+06,7.97961e+06,7.97632e+06,3.48565e+07,174.442,196.446,179.828,195.083
0,41,9.62284e+06,62150.3,60795,2.56347e+07,2.50994e+07,99424.2,99322,7.72494e+06,7.85145e+06,7.96806e+06,7.96455e+06,3.48675e+07,172.737,194.608,169.176,200.502
0,42,9.63938e+06,61775.4,60453.8,2.56486e+07,2.5113e+07,98714.4,98655,7.71669e+06,7.84318e+06,7.95464e+06,7.95102e+06,3.48774e+07,171.385,193.167,158.775,179.387
0,43,9.65738e+06,61559.5,60267.1,2.56635e+07,2.51277e+07,98247.7,98228.4,7.70784e+06,7.83424e+06,7.94005e+06,7.93646e+06,3.48864e+07,170.441,192.182,175.888,182.679
0,44,9.67594e+06,61507.8,60239.5,2.56786e+07,2.51428e+07,98037.7,98055.2,7.69886e+06,7.82509e+06,7.92505e+06,7.92159e+06,3.48943e+07,169.938,191.689,163.994,210.165
0,45,9.69416e+06,61617.4,60367.7,2.56934e+07,2.51575e+07,98085.1,98135.4,7.6902e+06,7.81621e+06,7.91038e+06,7.90714e+06,3.49012e+07,169.884,191.695,180.71,196.038
0,46,9.71115e+06,61877.4,60640.9,2.5707e+07,2.51712e+07,98377.9,98456.9,7.68227e+06,7.80801e+06,7.89672e+06,7.89378e+06,3.49071e+07,170.264,192.184,164.74,205.341
0,47,9.72616e+06,62270.1,61041.6,2.57188e+07,2.51832e+07,98892.5,98995.9,7.67545e+06,7.80091e+06,7.8847e+06,7.88212e+06,3.49121e+07,171.046,193.118,167.63,188.309
0,48,9.73852e+06,62771.1,61545.8,2.57285e+07,2.51931e+07,99594.6,99718.2,7.67004e+06,7.7952e+06,7.87484e+06,7.87268e+06,3.49163e+07,172.175,194.436,172.18,200.1
0,49,9.74775e+06,63350.6,62124.3,2.57355e+07,2.52004e+07,100441,100580,7.66628e+06,7.79114e+06,7.86752e+06,7.86581e+06,3.49199e+07,173.581,196.058,168.428,196.851
0,50,9.75352e+06,63974.5,62743.9,2.57397e+07,2.5205e+07,101380,101532,7.66428e+06,7.78886e+06,7.86298e+06,7.86174e+06,3.49231e+07,175.18,197.89,171.029,197.89
0,51,9.75575e+06,64606.1,63369,2.57411e+07,2.52067e+07,102355,102516,7.66409e+06,7.78841e+06,7.86131e+06,7.86055e+06,3.4926e+07,176.876,199.824,176.876,199.824
0,52,9.75452e+06,65208.5,63963.5,2.57397e+07,2.52057e+07,103310,103476,7.66562e+06,7.78971e+06,7.86242e+06,7.86215e+06,3.49288e+07,178.568,201.748,178.568,201.748
0,53,9.75015e+06,65746.7,64493.3,2.57358e+07,2.52023e+07,104187,104356,7.66872e+06,7.7926e+06,7.86607e+06,7.86628e+06,3.49317e+07,180.158,203.551,180.158,203.551
0,54,9.74312e+06,66190,64928.8,2.57299e+07,2.51968e+07,104935,105105,7.67312e+06,7.79682e+06,7.87187e+06,7.87255e+06,3.49347e+07,181.552,205.129,181.552,205.129
0,55,9.73406e+06,66514.5,65246.8,2.57225e+07,2.51898e+07,105512,105682,7.67851e+06,7.80204e+06,7.87933e+06,7.88046e+06,3.49381e+07,182.671,206.393,182.671,206.393
0,56,9.7237e+06,66704.7,65432.5,2.57141e+07,2.51819e+07,105889,106057,7.68449e+06,7.80789e+06,7.88785e+06,7.88942e+06,3.49418e+07,183.456,207.277,183.456,207.277
0,57,9.71284e+06,66754.8,65480.3,2.57055e+07,2.51736e+07,106051,106216,7.69069e+06,7.81395e+06,7.89682e+06,7.89879e+06,3.4946e+07,183.871,207.742,183.871,207.742
0,58,9.70224e+06,66669,65394.4,2.56972e+07,2.51657e+07,105997,106158,7.6967e+06,7.81984e+06,7.90561e+06,7.90797e+06,3.49505e+07,183.908,207.778,183.908,207.778
0,59,9.69262e+06,66460.5,65187.9,2.56898e+07,2.51588e+07,105743,105899,7.70218e+06,7.82519e+06,7.91363e+06,7.91635e+06,3.49555e+07,183.584,207.406,183.584,207.406
0,60,9.68459e+06,66150.5,64881.4,2.56839e+07,2.51532e+07,105317,105468,7.70682e+06,7.82969e+06,7.9204e+06,7.92346e+06,3.49607e+07,182.94,206.672,182.94,206.672
0,61,9.67862e+06,65765.7,64501,2.56796e+07,2.51493e+07,104758,104902,7.71039e+06,7.83312e+06,7.92553e+06,7.92889e+06,3.49662e+07,182.04,205.645,182.04,205.645
0,62,9.67502e+06,65336.4,64076.3,2.56774e+07,2.51474e+07,104111,104247,7.71273e+06,7.83531e+06,7.92877e+06,7.9324e+06,3.49718e+07,180.958,204.411,180.958,204.411
0,63,9.67391e+06,64894,63637.8,2.56773e+07,2.51476e+07,103425,103551,7.71381e+06,7.83622e+06,7.93002e+06,7.93388e+06,3.49774e+07,179.777,203.063,179.777,203.063
0,64,9.67524e+06,64468.8,63215,2.56792e+07,2.51498e+07,102748,102862,7.71363e+06,7.83588e+06,7.92929e+06,7.93335e+06,3.49828e+07,178.583,201.697,178.583,201.697
0,65,9.67883e+06,64088.1,62834.5,2.56829e+07,2.51538e+07,102125,102226,7.71232e+06,7.8344e+06,7.92676e+06,7.93097e+06,3.49879e+07,177.457,200.402,177.457,200.402
0,66,9.68434e+06,63775.1,62518.9,2.56882e+07,2.51593e+07,101596,101681,7.71004e+06,7.83195e+06,7.9227e+06,7.92702e+06,3.49927e+07,176.469,199.26,176.469,199.26
0,67,9.6913e+06,63547.6,62285.6,2.56947e+07,2.51659e+07,101191,101258,7.70702e+06,7.82879e+06,7.91747e+06,7.92184e+06,3.4997e+07,175.681,198.337,175.681,198.337
0,68,9.69921e+06,63417.8,62146.5,2.57019e+07,2.51732e+07,100934,100980,7.70353e+06,7.82518e+06,7.9115e+06,7.91587e+06,3.50009e+07,175.136,197.685,175.136,197.685
0,69,9.70748e+06,63391.7,62107.5,2.57093e+07,2.51807e+07,100838,100862,7.69985e+06,7.82142e+06,7.90525e+06,7.90957e+06,3.50042e+07,174.864,197.337,174.864,197.337
0,70,9.71554e+06,63468.9,62168.6,2.57166e+07,2.51879e+07,100906,100905,7.69628e+06,7.8178e+06,7.8992e+06,7.90339e+06,3.5007e+07,174.877,197.305,174.877,197.305
0,71,9.72282e+06,63643.4,62323.9,2.57232e+07,2.51944e+07,101133,101106,7.69308e+06,7.81461e+06,7.89378e+06,7.89778e+06,3.50093e+07,175.169,197.586,175.169,197.586
0,72,9.72882e+06,63903.6,62562.3,2.57288e+07,2.51999e+07,101502,101449,7.69049e+06,7.8121e+06,7.8894e+06,7.89314e+06,3.50111e+07,175.721,198.156,177.05,198.156
0,73,9.73313e+06,64232.6,62868.1,2.5733e+07,2.52038e+07,101992,101913,7.68873e+06,7.81047e+06,7.8864e+06,7.88981e+06,3.50126e+07,176.496,198.978,173.658,185.364
0,74,9.73542e+06,64609.9,63221.4,2.57356e+07,2.52061e+07,102571,102467,7.68794e+06,7.80988e+06,7.88501e+06,7.88804e+06,3.50137e+07,177.446,199.998,185.199,183.083
0,75,9.73553e+06,65011.7,63599.6,2.57365e+07,2.52066e+07,103204,103076,7.6882e+06,7.8104e+06,7.88538e+06,7.88798e+06,3.50147e+07,178.511,201.152,176.951,212.928
0,76,9.73339e+06,65412.6,63978.6,2.57356e+07,2.52052e+07,103852,103704,7.68953e+06,7.81205e+06,7.88754e+06,7.88965e+06,3.50157e+07,179.626,202.365,172.903,201.801
0,77,9.72911e+06,65787.2,64334,2.5733e+07,2.52021e+07,104475,104310,7.69187e+06,7.81477e+06,7.89141e+06,7.89301e+06,3.50166e+07,180.721,203.562,179.212,203.04
0,78,9.72293e+06,66111.6,64643,2.5729e+07,2.51975e+07,105032,104856,7.69511e+06,7.81842e+06,7.89681e+06,7.89787e+06,3.50177e+07,181.726,204.667,165.373,201.112
0,79,9.71519e+06,66364.9,64885.9,2.57238e+07,2.51917e+07,105490,105308,7.69907e+06,7.82282e+06,7.90343e+06,7.90395e+06,3.5019e+07,182.578,205.611,157.947,232.193
0,80,9.70637e+06,66531.2,65047.4,2.57178e+07,2.51851e+07,105819,105638,7.70352e+06,7.82773e+06,7.91093e+06,7.91091e+06,3.50205e+07,183.224,206.332,192.733,212.433
0,81,9.69697e+06,66600.1,65117.5,2.57113e+07,2.51781e+07,106000,105826,7.70822e+06,7.83287e+06,7.91886e+06,7.91835e+06,3.50224e+07,183.623,206.788,177.37,229.199
0,82,9.68756e+06,66567.8,65092.8,2.5705e+07,2.51711e+07,106021,105861,7.71288e+06,7.83797e+06,7.92679e+06,7.92583e+06,3.50246e+07,183.75,206.951,188.835,218.506
0,83,9.67868e+06,66437.4,64975.7,2.56991e+07,2.51647e+07,105885,105744,7.71726e+06,7.84273e+06,7.93427e+06,7.93291e+06,3.5027e+07,183.601,206.815,187.772,195.988
0,84,9.67086e+06,66217.9,64775,2.5694e+07,2.51592e+07,105599,105485,7.72109e+06,7.8469e+06,7.94087e+06,7.93921e+06,3.50298e+07,183.188,206.393,191.57,215.865
0,85,9.66452e+06,65923.9,64504.2,2.56902e+07,2.51551e+07,105185,105101,7.72419e+06,7.85026e+06,7.94625e+06,7.94437e+06,3.50328e+07,182.539,205.714,170.933,204.925
0,86,9.66001e+06,65573.9,64181,2.56879e+07,2.51524e+07,104669,104618,7.72638e+06,7.85263e+06,7.95011e+06,7.94811e+06,3.50359e+07,181.697,204.825,187.823,204.825
0,87,9.65757e+06,65189.3,63825.4,2.56872e+07,2.51515e+07,104083,104067,7.72756e+06,7.85392e+06,7.95229e+06,7.95026e+06,3.5039e+07,180.714,203.783,178.696,206.761
0,88,9.65729e+06,64792.3,63458.6,2.56882e+07,2.51525e+07,103461,103482,7.72769e+06,7.85407e+06,7.95268e+06,7.95073e+06,3.50421e+07,179.65,202.653,184.029,206.109
0,89,9.65918e+06,64405,63101.2,2.56909e+07,2.51552e+07,102839,102895,7.7268e+06,7.8531e+06,7.9513e+06,7.94954e+06,3.5045e+07,178.566,201.5,186.534,211.121
0,90,9.66309e+06,64047.6,62772.4,2.56952e+07,2.51596e+07,102250,102340,7.72494e+06,7.8511e+06,7.94827e+06,7.94677e+06,3.50477e+07,177.52,200.389,184.779,197.727
0,91,9.66879e+06,63737.8,62489,2.57008e+07,2.51654e+07,101724,101845,7.72226e+06,7.84819e+06,7.94378e+06,7.94264e+06,3.505e+07,176.568,199.378,177.718,195.734
0,92,9.67598e+06,63489.9,62264.2,2.57075e+07,2.51724e+07,101285,101434,7.71891e+06,7.84454e+06,7.93809e+06,7.93737e+06,3.50519e+07,175.754,198.519,175.754,198.519
0,93,9.68427e+06,63314,62107.6,2.5715e+07,2.51803e+07,100953,101125,7.71508e+06,7.84037e+06,7.93153e+06,7.93129e+06,3.50534e+07,175.116,197.85,175.397,197.85
0,94,9.69324e+06,63216.3,62024.8,2.57229e+07,2.51886e+07,100739,100930,7.71099e+06,7.83589e+06,7.92445e+06,7.92472e+06,3.50544e+07,174.679,197.398,179.106,197.398
0,95,9.70245e+06,63198.6,62017.1,2.57309e+07,2.51971e+07,100650,100854,7.70684e+06,7.83133e+06,7.91719e+06,7.91801e+06,3.50549e+07,174.456,197.18,174.965,196.317
0,96,9.71146e+06,63258.3,62082.2,2.57386e+07,2.52053e+07,100685,100896,7.70286e+06,7.82693e+06,7.91013e+06,7.9115e+06,3.50549e+07,174.45,197.195,177.73,197.195
0,97,9.71988e+06,63389.2,62213.6,2.57458e+07,2.5213e+07,100835,101049,7.69924e+06,7.82288e+06,7.90359e+06,7.90551e+06,3.50544e+07,174.652,197.434,169.223,197.757
