time,low95:SS:Japan__all,SS:Japan__all,high95:SS:Japan__all,low95:IS:Japan__all,IS:Japan__all,high95:IS:Japan__all,low95:SI:Japan__all,SI:Japan__all,high95:SI:Japan__all,low95:RS:Japan__all,RS:Japan__all,high95:RS:Japan__all,low95:SR:Japan__all,SR:Japan__all,high95:SR:Japan__all,low95:IR:Japan__all,IR:Japan__all,high95:IR:Japan__all,low95:RI:Japan__all,RI:Japan__all,high95:RI:Japan__all,low95:SQ:Japan__all,SQ:Japan__all,high95:SQ:Japan__all,low95:QS:Japan__all,QS:Japan__all,high95:QS:Japan__all,low95:QR:Japan__all,QR:Japan__all,high95:QR:Japan__all,low95:RQ:Japan__all,RQ:Japan__all,high95:RQ:Japan__all,low95:RR:Japan__all,RR:Japan__all,high95:RR:Japan__all,low95:EV71_JAP__IASR__inc,EV71_JAP__IASR__inc,high95:EV71_JAP__IASR__inc,low95:CA16_JAP__IASR__inc,CA16_JAP__IASR__inc,high95:CA16_JAP__IASR__inc
0,4.49612e+07,4.49612e+07,4.49612e+07,171198,171198,171198,231223,231223,231223,2.7562e+07,2.7562e+07,2.7562e+07,3.68064e+07,3.68064e+07,3.68064e+07,65782.8,65782.8,65782.8,66573.9,66573.9,66573.9,3.46174e+06,3.46174e+06,3.46174e+06,2.60136e+06,2.60136e+06,2.60136e+06,888667,888667,888667,893678,893678,893678,8.99862e+06,8.99862e+06,8.99862e+06,0,0,0,0,0,0
1,4.49462e+07,4.49462e+07,4.49462e+07,174433,174433,174433,235776,235776,235776,2.75425e+07,2.75425e+07,2.75425e+07,3.67918e+07,3.67918e+07,3.67918e+07,67039.6,67039.6,67039.6,67883,67883,67883,3.47171e+06,3.47171e+06,3.47171e+06,2.60566e+06,2.60566e+06,2.60566e+06,890202,890202,890202,896293,896293,896293,9.01893e+06,9.01893e+06,9.01893e+06,203.274,203.274,203.274,184.808,184.808,184.808
2,4.4912e+07,4.4912e+07,4.4912e+07,177379,177379,177379,239829,239829,239829,2.75219e+07,2.75219e+07,2.75219e+07,3.67774e+07,3.67774e+07,3.67774e+07,68186.9,68186.9,68186.9,69042.1,69042.1,69042.1,3.49054e+06,3.49054e+06,3.49054e+06,2.61679e+06,2.61679e+06,2.61679e+06,894345,894345,894345,901398,901398,901398,9.04835e+06,9.04835e+06,9.04835e+06,206.938,206.938,206.938,188.226,188.226,188.226
3,4.48614e+07,4.48614e+07,4.48614e+07,179874,179874,179874,243155,243155,243155,2.7502e+07,2.7502e+07,2.7502e+07,3.67649e+07,3.67649e+07,3.67649e+07,69189.2,69189.2,69189.2,70017,70017,70017,3.51528e+06,3.51528e+06,3.51528e+06,2.63275e+06,2.63275e+06,2.63275e+06,900331,900331,900331,908155,908155,908155,9.07877e+06,9.07877e+06,9.07877e+06,210.173,210.173,210.173,191.159,191.159,191.159
4,4.47983e+07,4.47983e+07,4.47983e+07,181826,181826,181826,245623,245623,245623,2.74839e+07,2.74839e+07,2.74839e+07,3.67556e+07,3.67556e+07,3.67556e+07,70010.3,70010.3,70010.3,70770.8,70770.8,70770.8,3.54307e+06,3.54307e+06,3.54307e+06,2.65155e+06,2.65155e+06,2.65155e+06,907438,907438,907438,915782,915782,915782,9.11066e+06,9.11066e+06,9.11066e+06,212.845,212.845,212.845,193.477,193.477,193.477
5,4.47266e+07,4.47266e+07,4.47266e+07,183176,183176,183176,247155,247155,247155,2.74687e+07,2.74687e+07,2.74687e+07,3.67503e+07,3.67503e+07,3.67503e+07,70624.2,70624.2,70624.2,71278.3,71278.3,71278.3,3.57121e+06,3.57121e+06,3.57121e+06,2.67136e+06,2.67136e+06,2.67136e+06,914999,914999,914999,923561,923561,923561,9.1442e+06,9.1442e+06,9.1442e+06,214.861,214.861,214.861,195.097,195.097,195.097
6,4.46508e+07,4.46508e+07,4.46508e+07,183908,183908,183908,247738,247738,247738,2.74571e+07,2.74571e+07,2.74571e+07,3.67494e+07,3.67494e+07,3.67494e+07,71018.7,71018.7,71018.7,71530.7,71530.7,71530.7,3.59738e+06,3.59738e+06,3.59738e+06,2.69052e+06,2.69052e+06,2.69052e+06,922419,922419,922419,930860,930860,930860,9.17933e+06,9.17933e+06,9.17933e+06,216.174,216.174,216.174,195.98,195.98,195.98
7,4.45749e+07,4.45749e+07,4.45749e+07,184045,184045,184045,247417,247417,247417,2.74493e+07,2.74493e+07,2.74493e+07,3.67528e+07,3.67528e+07,3.67528e+07,71195.4,71195.4,71195.4,71534.6,71534.6,71534.6,3.61963e+06,3.61963e+06,3.61963e+06,2.70767e+06,2.70767e+06,2.70767e+06,929197,929197,929197,937159,937159,937159,9.2158e+06,9.2158e+06,9.2158e+06,216.783,216.783,216.783,196.134,196.134,196.134
8,4.45026e+07,4.45026e+07,4.45026e+07,183643,183643,183643,246286,246286,246286,2.74456e+07,2.74456e+07,2.74456e+07,3.67603e+07,3.67603e+07,3.67603e+07,71168.2,71168.2,71168.2,71311.2,71311.2,71311.2,3.6365e+06,3.6365e+06,3.6365e+06,2.72175e+06,2.72175e+06,2.72175e+06,934940,934940,934940,942064,942064,942064,9.2532e+06,9.2532e+06,9.2532e+06,216.727,216.727,216.727,195.613,195.613,195.613
9,4.44371e+07,4.44371e+07,4.44371e+07,182785,182785,182785,244481,244481,244481,2.74458e+07,2.74458e+07,2.74458e+07,3.67712e+07,3.67712e+07,3.67712e+07,70961.8,70961.8,70961.8,70892.8,70892.8,70892.8,3.64708e+06,3.64708e+06,3.64708e+06,2.73204e+06,2.73204e+06,2.73204e+06,939372,939372,939372,945316,945316,945316,9.29102e+06,9.29102e+06,9.29102e+06,216.084,216.084,216.084,194.504,194.504,194.504
10,4.4381e+07,4.4381e+07,4.4381e+07,181570,181570,181570,242161,242161,242161,2.74495e+07,2.74495e+07,2.74495e+07,3.67847e+07,3.67847e+07,3.67847e+07,70608.2,70608.2,70608.2,70320.2,70320.2,70320.2,3.65092e+06,3.65092e+06,3.65092e+06,2.73816e+06,2.73816e+06,2.73816e+06,942335,942335,942335,946789,946789,946789,9.32869e+06,9.32869e+06,9.32869e+06,214.955,214.955,214.955,192.922,192.922,192.922
11,4.4336e+07,4.4336e+07,4.4336e+07,180107,180107,180107,239499,239499,239499,2.74562e+07,2.74562e+07,2.74562e+07,3.67999e+07,3.67999e+07,3.67999e+07,70144.3,70144.3,70144.3,69638.1,69638.1,69638.1,3.64809e+06,3.64809e+06,3.64809e+06,2.74004e+06,2.74004e+06,2.74004e+06,943781,943781,943781,946484,946484,946484,9.36566e+06,9.36566e+06,9.36566e+06,213.46,213.46,213.46,190.995,190.995,190.995
12,4.4303e+07,4.4303e+07,4.4303e+07,178504,178504,178504,236662,236662,236662,2.74653e+07,2.74653e+07,2.74653e+07,3.68157e+07,3.68157e+07,3.68157e+07,69608,69608,69608,68891.8,68891.8,68891.8,3.63902e+06,3.63902e+06,3.63902e+06,2.7379e+06,2.7379e+06,2.7379e+06,943763,943763,943763,944512,944512,944512,9.40136e+06,9.40136e+06,9.40136e+06,211.722,211.722,211.722,188.856,188.856,188.856
13,4.42822e+07,4.42822e+07,4.42822e+07,176861,176861,176861,233805,233805,233805,2.74761e+07,2.74761e+07,2.74761e+07,3.68312e+07,3.68312e+07,3.68312e+07,69036.2,69036.2,69036.2,68124.5,68124.5,68124.5,3.62449e+06,3.62449e+06,3.62449e+06,2.73217e+06,2.73217e+06,2.73217e+06,942412,942412,942412,941067,941067,941067,9.43532e+06,9.43532e+06,9.43532e+06,209.863,209.863,209.863,186.632,186.632,186.632
14,4.42734e+07,4.42734e+07,4.42734e+07,175269,175269,175269,231066,231066,231066,2.7488e+07,2.7488e+07,2.7488e+07,3.68456e+07,3.68456e+07,3.68456e+07,68462.5,68462.5,68462.5,67374.6,67374.6,67374.6,3.60551e+06,3.60551e+06,3.60551e+06,2.72342e+06,2.72342e+06,2.72342e+06,939922,939922,939922,936410,936410,936410,9.46713e+06,9.46713e+06,9.46713e+06,207.994,207.994,207.994,184.438,184.438,184.438
