index,time,SS:Japan__all,IS:Japan__all,SI:Japan__all,RS:Japan__all,SR:Japan__all,IR:Japan__all,RI:Japan__all,RR:Japan__all,obs_mean:EV71_JAP__IASR__inc,obs_mean:CA16_JAP__IASR__inc,obs_real:EV71_JAP__IASR__inc,obs_real:CA16_JAP__IASR__inc
0,0,2.69586e+06,3245.12,3344.73,2.96824e+06,3.17652e+06,3161.22,3044,1.17855e+08,0,0,0,0
0,1,2.69971e+06,3312.63,3414.43,2.96832e+06,3.17652e+06,3222.99,3104.25,1.17851e+08,8.1538,2.11717,11.9209,3.36259
0,2,2.70313e+06,3388.63,3493.49,2.96842e+06,3.17654e+06,3292.6,3172.06,1.17856e+08,8.32722,2.16264,9.02333,1.68556
0,3,2.70608e+06,3472.04,3580.53,2.96853e+06,3.17658e+06,3369.79,3247.46,1.17861e+08,8.52025,2.2134,9.86723,2.46962
0,4,2.70851e+06,3562.44,3675.1,2.96866e+06,3.17664e+06,3454.24,3330.15,1.17867e+08,8.73174,2.26916,9.43065,0
0,5,2.71039e+06,3659.2,3776.53,2.9688e+06,3.17672e+06,3545.43,3419.59,1.17873e+08,8.96051,2.3296,9.62913,1.54433
0,6,2.71168e+06,3761.59,3884.02,2.96895e+06,3.17682e+06,3642.73,3515.16,1.1788e+08,9.20495,2.39427,7.67249,2.45604
0,7,2.71235e+06,3868.67,3996.58,2.96912e+06,3.17694e+06,3745.33,3616.03,1.17887e+08,9.46312,2.46266,8.20649,1.77127
0,8,2.71239e+06,3979.32,4113.01,2.9693e+06,3.17709e+06,3852.24,3721.24,1.17895e+08,9.73259,2.5341,14.3109,1.50307
0,9,2.71177e+06,4092.24,4231.92,2.96949e+06,3.17726e+06,3962.33,3829.6,1.17903e+08,10.0105,2.60783,11.7815,1.66569
0,10,2.7105e+06,4205.95,4351.7,2.96968e+06,3.17746e+06,4074.22,3939.75,1.17913e+08,10.2935,2.68293,4.75969,4.05829
0,11,2.70858e+06,4318.78,4470.54,2.96989e+06,3.17767e+06,4186.4,4050.16,1.17922e+08,10.5778,2.75836,12.5363,3.32591
0,12,2.70602e+06,4428.92,4586.49,2.9701e+06,3.1779e+06,4297.18,4159.09,1.17933e+08,10.8592,2.83297,11.467,6.88356
0,13,2.70284e+06,4534.43,4697.46,2.97032e+06,3.17814e+06,4404.7,4264.69,1.17944e+08,11.1331,2.90551,5.89159,3.32868
0,14,2.69909e+06,4633.32,4801.28,2.97054e+06,3.1784e+06,4507.04,4365,1.17955e+08,11.3946,2.97464,13.4239,4.53884
0,15,2.6948e+06,4723.58,4895.78,2.97077e+06,3.17867e+06,4602.2,4458.01,1.17967e+08,11.6386,3.03901,10.241,4.4689
0,16,2.69005e+06,4803.29,4978.88,2.97099e+06,3.17894e+06,4688.24,4541.74,1.1798e+08,11.8603,3.09726,14.7634,4.24497
