time,low95:SS:Japan__all,SS:Japan__all,high95:SS:Japan__all,low95:IS:Japan__all,IS:Japan__all,high95:IS:Japan__all,low95:SI:Japan__all,SI:Japan__all,high95:SI:Japan__all,low95:RS:Japan__all,RS:Japan__all,high95:RS:Japan__all,low95:SR:Japan__all,SR:Japan__all,high95:SR:Japan__all,low95:IR:Japan__all,IR:Japan__all,high95:IR:Japan__all,low95:RI:Japan__all,RI:Japan__all,high95:RI:Japan__all,low95:RR:Japan__all,RR:Japan__all,high95:RR:Japan__all,low95:EV71_JAP__IASR__inc,EV71_JAP__IASR__inc,high95:EV71_JAP__IASR__inc,low95:CA16_JAP__IASR__inc,CA16_JAP__IASR__inc,high95:CA16_JAP__IASR__inc
0,1.59151e+07,1.59151e+07,1.59151e+07,3514.26,3514.26,3514.26,2468.18,2468.18,2468.18,3.60079e+07,3.60079e+07,3.60079e+07,2.21843e+07,2.21843e+07,2.21843e+07,1014.84,1014.84,1014.84,1156.53,1156.53,1156.53,5.25929e+07,5.25929e+07,5.25929e+07,0,0,0,0,0,0
1,1.59183e+07,1.59183e+07,1.59183e+07,3577.69,3577.69,3577.69,2512.68,2512.68,2512.68,3.60095e+07,3.60095e+07,3.60095e+07,2.21853e+07,2.21853e+07,2.21853e+07,1032.87,1032.87,1032.87,1177.41,1177.41,1177.41,5.2587e+07,5.2587e+07,5.2587e+07,3.95713,3.95713,3.95713,2.65067,2.65067,2.65067
2,1.59212e+07,1.59212e+07,1.59212e+07,3644.04,3644.04,3644.04,2559.35,2559.35,2559.35,3.60113e+07,3.60113e+07,3.60113e+07,2.21864e+07,2.21864e+07,2.21864e+07,1051.87,1051.87,1051.87,1199.12,1199.12,1199.12,5.25898e+07,5.25898e+07,5.25898e+07,4.02942,4.02942,4.02942,2.69919,2.69919,2.69919
3,1.59237e+07,1.59237e+07,1.59237e+07,3713.1,3713.1,3713.1,2607.83,2607.83,2607.83,3.60132e+07,3.60132e+07,3.60132e+07,2.21875e+07,2.21875e+07,2.21875e+07,1071.68,1071.68,1071.68,1221.69,1221.69,1221.69,5.25928e+07,5.25928e+07,5.25928e+07,4.10485,4.10485,4.10485,2.74971,2.74971,2.74971
4,1.59259e+07,1.59259e+07,1.59259e+07,3784.97,3784.97,3784.97,2658.2,2658.2,2658.2,3.60152e+07,3.60152e+07,3.60152e+07,2.21888e+07,2.21888e+07,2.21888e+07,1092.33,1092.33,1092.33,1245.18,1245.18,1245.18,5.2596e+07,5.2596e+07,5.2596e+07,4.18339,4.18339,4.18339,2.80222,2.80222,2.80222
5,1.59277e+07,1.59277e+07,1.59277e+07,3859.68,3859.68,3859.68,2710.51,2710.51,2710.51,3.60173e+07,3.60173e+07,3.60173e+07,2.21901e+07,2.21901e+07,2.21901e+07,1113.82,1113.82,1113.82,1269.6,1269.6,1269.6,5.25992e+07,5.25992e+07,5.25992e+07,4.2651,4.2651,4.2651,2.85679,2.85679,2.85679
6,1.59291e+07,1.59291e+07,1.59291e+07,3937.26,3937.26,3937.26,2764.78,2764.78,2764.78,3.60196e+07,3.60196e+07,3.60196e+07,2.21915e+07,2.21915e+07,2.21915e+07,1136.17,1136.17,1136.17,1294.98,1294.98,1294.98,5.26026e+07,5.26026e+07,5.26026e+07,4.35002,4.35002,4.35002,2.91346,2.91346,2.91346
7,1.59301e+07,1.59301e+07,1.59301e+07,4017.67,4017.67,4017.67,2821.02,2821.02,2821.02,3.60221e+07,3.60221e+07,3.60221e+07,2.2193e+07,2.2193e+07,2.2193e+07,1159.36,1159.36,1159.36,1321.31,1321.31,1321.31,5.26061e+07,5.26061e+07,5.26061e+07,4.43815,4.43815,4.43815,2.97225,2.97225,2.97225
8,1.59307e+07,1.59307e+07,1.59307e+07,4100.89,4100.89,4100.89,2879.22,2879.22,2879.22,3.60247e+07,3.60247e+07,3.60247e+07,2.21946e+07,2.21946e+07,2.21946e+07,1183.4,1183.4,1183.4,1348.6,1348.6,1348.6,5.26098e+07,5.26098e+07,5.26098e+07,4.52946,4.52946,4.52946,3.03315,3.03315,3.03315
9,1.59309e+07,1.59309e+07,1.59309e+07,4186.82,4186.82,4186.82,2939.34,2939.34,2939.34,3.60274e+07,3.60274e+07,3.60274e+07,2.21963e+07,2.21963e+07,2.21963e+07,1208.27,1208.27,1208.27,1376.83,1376.83,1376.83,5.26137e+07,5.26137e+07,5.26137e+07,4.62389,4.62389,4.62389,3.09616,3.09616,3.09616
10,1.59307e+07,1.59307e+07,1.59307e+07,4275.36,4275.36,4275.36,3001.34,3001.34,3001.34,3.60304e+07,3.60304e+07,3.60304e+07,2.21981e+07,2.21981e+07,2.21981e+07,1233.92,1233.92,1233.92,1406,1406,1406,5.26177e+07,5.26177e+07,5.26177e+07,4.72133,4.72133,4.72133,3.16122,3.16122,3.16122
11,1.593e+07,1.593e+07,1.593e+07,4366.34,4366.34,4366.34,3065.13,3065.13,3065.13,3.60335e+07,3.60335e+07,3.60335e+07,2.22e+07,2.22e+07,2.22e+07,1260.33,1260.33,1260.33,1436.05,1436.05,1436.05,5.26219e+07,5.26219e+07,5.26219e+07,4.82162,4.82162,4.82162,3.22828,3.22828,3.22828
12,1.59289e+07,1.59289e+07,1.59289e+07,4459.55,4459.55,4459.55,3130.59,3130.59,3130.59,3.60368e+07,3.60368e+07,3.60368e+07,2.2202e+07,2.2202e+07,2.2202e+07,1287.43,1287.43,1287.43,1466.94,1466.94,1466.94,5.26262e+07,5.26262e+07,5.26262e+07,4.92456,4.92456,4.92456,3.29721,3.29721,3.29721
13,1.59272e+07,1.59272e+07,1.59272e+07,4554.72,4554.72,4554.72,3197.58,3197.58,3197.58,3.60402e+07,3.60402e+07,3.60402e+07,2.22041e+07,2.22041e+07,2.22041e+07,1315.15,1315.15,1315.15,1498.61,1498.61,1498.61,5.26307e+07,5.26307e+07,5.26307e+07,5.02989,5.02989,5.02989,3.3679,3.3679,3.3679
