index,time,SS:Japan__all,IS:Japan__all,SI:Japan__all,RS:Japan__all,SR:Japan__all,IR:Japan__all,RI:Japan__all,RR:Japan__all,obs_mean:EV71_JAP__IASR__inc,obs_mean:CA16_JAP__IASR__inc,obs_real:EV71_JAP__IASR__inc,obs_real:CA16_JAP__IASR__inc
0,0,5.3843e+06,2321.94,2558.98,3.06632e+06,3.58592e+06,2496.43,2442.18,1.14662e+08,0,0,0,0
0,1,5.38692e+06,2345.95,2584.22,3.06644e+06,3.58607e+06,2520.92,2466.42,1.14659e+08,3.62335,3.81825,3.70929,2.25406
0,2,5.3895e+06,2350.32,2588.76,3.06659e+06,3.58624e+06,2524.75,2469.99,1.14665e+08,3.63977,3.83502,3.76788,0.1399
0,3,5.39206e+06,2352.16,2590.73,3.06675e+06,3.58642e+06,2525.9,2471.08,1.14671e+08,3.64335,3.83866,2.14107,5.14448
0,4,5.3946e+06,2353.75,2592.46,3.0669e+06,3.5866e+06,2526.78,2471.96,1.14677e+08,3.64533,3.84075,2.53542,5.40607
0,5,5.39713e+06,2355.33,2594.18,3.06707e+06,3.58679e+06,2527.66,2472.84,1.14682e+08,3.64716,3.84271,4.229,5.90682
0,6,5.39964e+06,2356.93,2595.92,3.06723e+06,3.58697e+06,2528.57,2473.74,1.14688e+08,3.64901,3.84471,3.92996,8.12616
0,7,5.40213e+06,2358.54,2597.69,3.0674e+06,3.58717e+06,2529.5,2474.67,1.14694e+08,3.6509,3.84673,3.19744,3.67034
0,8,5.4046e+06,2360.17,2599.47,3.06757e+06,3.58736e+06,2530.46,2475.63,1.147e+08,3.65282,3.84879,4.60539,4.12111
0,9,5.40706e+06,2361.81,2601.25,3.06775e+06,3.58756e+06,2531.43,2476.59,1.14706e+08,3.65476,3.85087,4.93058,5.22421
0,10,5.4095e+06,2363.44,2603.04,3.06792e+06,3.58776e+06,2532.41,2477.57,1.14712e+08,3.65672,3.85296,5.4559,0
0,11,5.41192e+06,2365.07,2604.82,3.0681e+06,3.58797e+06,2533.39,2478.54,1.14718e+08,3.65867,3.85506,4.95847,0.0251965
0,12,5.41432e+06,2366.69,2606.58,3.06829e+06,3.58817e+06,2534.37,2479.51,1.14723e+08,3.66062,3.85714,5.65416,5.92884
0,13,5.41671e+06,2368.29,2608.33,3.06847e+06,3.58839e+06,2535.34,2480.47,1.14729e+08,3.66254,3.8592,3.05811,7.13769
0,14,5.41908e+06,2369.87,2610.05,3.06866e+06,3.5886e+06,2536.28,2481.41,1.14735e+08,3.66445,3.86124,4.93985,5.81597
0,15,5.42143e+06,2371.41,2611.73,3.06886e+06,3.58882e+06,2537.2,2482.33,1.14741e+08,3.66631,3.86323,3.67855,1.32637
0,16,5.42377e+06,2372.92,2613.38,3.06905e+06,3.58904e+06,2538.1,2483.22,1.14747e+08,3.66813,3.86518,6.31011,1.90077
