time,low95:SS:Japan__all,SS:Japan__all,high95:SS:Japan__all,low95:IS:Japan__all,IS:Japan__all,high95:IS:Japan__all,low95:SI:Japan__all,SI:Japan__all,high95:SI:Japan__all,low95:RS:Japan__all,RS:Japan__all,high95:RS:Japan__all,low95:SR:Japan__all,SR:Japan__all,high95:SR:Japan__all,low95:IR:Japan__all,IR:Japan__all,high95:IR:Japan__all,low95:RI:Japan__all,RI:Japan__all,high95:RI:Japan__all,low95:RR:Japan__all,RR:Japan__all,high95:RR:Japan__all,low95:EV71_JAP__IASR__inc,EV71_JAP__IASR__inc,high95:EV71_JAP__IASR__inc,low95:CA16_JAP__IASR__inc,CA16_JAP__IASR__inc,high95:CA16_JAP__IASR__inc
0,7.83057e+06,7.83057e+06,7.83057e+06,1455.34,1455.34,1455.34,1147.17,1147.17,1147.17,1.8714e+06,1.8714e+06,1.8714e+06,1.40467e+06,1.40467e+06,1.40467e+06,3158.98,3158.98,3158.98,2673.18,2673.18,2673.18,1.15593e+08,1.15593e+08,1.15593e+08,0,0,0,0,0,0
1,7.83273e+06,7.83273e+06,7.83273e+06,1480.09,1480.09,1480.09,1166.55,1166.55,1166.55,1.87147e+06,1.87147e+06,1.87147e+06,1.40472e+06,1.40472e+06,1.40472e+06,3212.21,3212.21,3212.21,2718.6,2718.6,2718.6,1.15591e+08,1.15591e+08,1.15591e+08,6.24554,6.24554,6.24554,4.66938,4.66938,4.66938
2,7.83454e+06,7.83454e+06,7.83454e+06,1505.63,1505.63,1505.63,1186.73,1186.73,1186.73,1.87155e+06,1.87155e+06,1.87155e+06,1.40478e+06,1.40478e+06,1.40478e+06,3267.47,3267.47,3267.47,2765.49,2765.49,2765.49,1.15598e+08,1.15598e+08,1.15598e+08,6.35224,6.35224,6.35224,4.7494,4.7494,4.7494
3,7.836e+06,7.836e+06,7.836e+06,1531.82,1531.82,1531.82,1207.41,1207.41,1207.41,1.87164e+06,1.87164e+06,1.87164e+06,1.40484e+06,1.40484e+06,1.40484e+06,3324.19,3324.19,3324.19,2813.55,2813.55,2813.55,1.15605e+08,1.15605e+08,1.15605e+08,6.46214,6.46214,6.46214,4.83172,4.83172,4.83172
4,7.83709e+06,7.83709e+06,7.83709e+06,1558.59,1558.59,1558.59,1228.53,1228.53,1228.53,1.87173e+06,1.87173e+06,1.87173e+06,1.40491e+06,1.40491e+06,1.40491e+06,3382.21,3382.21,3382.21,2862.69,2862.69,2862.69,1.15612e+08,1.15612e+08,1.15612e+08,6.57472,6.57472,6.57472,4.91598,4.91598,4.91598
5,7.83782e+06,7.83782e+06,7.83782e+06,1585.85,1585.85,1585.85,1250.02,1250.02,1250.02,1.87183e+06,1.87183e+06,1.87183e+06,1.40498e+06,1.40498e+06,1.40498e+06,3441.31,3441.31,3441.31,2912.72,2912.72,2912.72,1.15619e+08,1.15619e+08,1.15619e+08,6.68962,6.68962,6.68962,5.00193,5.00193,5.00193
6,7.83818e+06,7.83818e+06,7.83818e+06,1613.48,1613.48,1613.48,1271.81,1271.81,1271.81,1.87194e+06,1.87194e+06,1.87194e+06,1.40506e+06,1.40506e+06,1.40506e+06,3501.27,3501.27,3501.27,2963.48,2963.48,2963.48,1.15627e+08,1.15627e+08,1.15627e+08,6.8064,6.8064,6.8064,5.08927,5.08927,5.08927
7,7.83817e+06,7.83817e+06,7.83817e+06,1641.38,1641.38,1641.38,1293.81,1293.81,1293.81,1.87205e+06,1.87205e+06,1.87205e+06,1.40514e+06,1.40514e+06,1.40514e+06,3561.85,3561.85,3561.85,3014.78,3014.78,3014.78,1.15636e+08,1.15636e+08,1.15636e+08,6.9246,6.9246,6.9246,5.17768,5.17768,5.17768
8,7.83777e+06,7.83777e+06,7.83777e+06,1669.42,1669.42,1669.42,1315.93,1315.93,1315.93,1.87217e+06,1.87217e+06,1.87217e+06,1.40523e+06,1.40523e+06,1.40523e+06,3622.77,3622.77,3622.77,3066.41,3066.41,3066.41,1.15645e+08,1.15645e+08,1.15645e+08,7.04373,7.04373,7.04373,5.26682,5.26682,5.26682
9,7.837e+06,7.837e+06,7.837e+06,1697.46,1697.46,1697.46,1338.08,1338.08,1338.08,1.8723e+06,1.8723e+06,1.8723e+06,1.40532e+06,1.40532e+06,1.40532e+06,3683.75,3683.75,3683.75,3118.14,3118.14,3118.14,1.15654e+08,1.15654e+08,1.15654e+08,7.16323,7.16323,7.16323,5.35632,5.35632,5.35632
