index,time,SS:Japan__all,IS:Japan__all,SI:Japan__all,RS:Japan__all,SR:Japan__all,IR:Japan__all,RI:Japan__all,RR:Japan__all,obs_mean:EV71_JAP__IASR__inc,obs_mean:CA16_JAP__IASR__inc,obs_real:EV71_JAP__IASR__inc,obs_real:CA16_JAP__IASR__inc
0,0,266479,4630.33,3682.07,432903,287951,76603.4,63838.1,1.25572e+08,0,0,0,0
0,1,269437,4698.27,3735.86,433041,288059,76647.2,63882.3,1.25569e+08,35.1931,37.5701,35.1931,37.5701
0,2,272135,4756.44,3783.14,433299,288265,76836.4,64044.8,1.25574e+08,35.2711,37.6559,35.2711,37.6559
0,3,274558,4817.33,3832.56,433655,288550,77152.4,64312.2,1.25579e+08,35.4064,37.8025,35.4064,37.8025
0,4,276693,4881.45,3884.44,434093,288901,77588.5,64679.8,1.25584e+08,35.5966,38.0075,35.5966,38.0075
0,5,278529,4948.31,3938.44,434604,289311,78138.2,65142.6,1.25589e+08,35.8386,38.2681,35.8386,38.2681
0,6,280060,5017.35,3994.13,435174,289767,78794.3,65695.1,1.25593e+08,36.1294,38.5811,36.1294,38.5811
0,7,281280,5087.95,4051.06,435791,290262,79548.9,66331.2,1.25598e+08,36.4653,38.9433,36.4653,38.9433
0,8,282186,5159.41,4108.68,436443,290783,80393.4,67044.1,1.25603e+08,36.8427,39.3506,36.8427,39.3506
0,9,282778,5231,4166.44,437118,291323,81318,67826.1,1.25608e+08,37.257,39.7987,37.257,39.7987
0,10,283061,5301.92,4223.73,437801,291870,82312.2,68668.9,1.25614e+08,37.7037,40.2829,37.7037,40.2829
0,11,283042,5371.38,4279.94,438482,292415,83364.8,69563.3,1.25619e+08,38.1777,40.798,38.1777,40.798
0,12,282732,5438.54,4334.42,439146,292949,84463.3,70499.3,1.25625e+08,38.6735,41.3382,38.6735,41.3382
0,13,282145,5502.59,4386.53,439781,293462,85594.9,71466.3,1.25631e+08,39.1852,41.8976,39.1852,41.8976
0,14,281298,5562.73,4435.65,440376,293944,86745.8,72453,1.25637e+08,39.7068,42.4695,39.7068,42.4695
0,15,280211,5618.2,4481.17,440918,294389,87901.8,73447.5,1.25643e+08,40.2318,43.0473,39.808,43.0473
0,16,278910,5668.33,4522.55,441397,294788,89048.4,74437.5,1.2565e+08,40.7537,43.6238,46.8852,43.9009
0,17,277418,5712.5,4559.29,441803,295134,90171.1,75410.7,1.25657e+08,41.266,44.192,41.0799,47.0244
0,18,275766,5750.2,4590.97,442127,295420,91255.2,76354.6,1.25665e+08,41.762,44.7447,40.6923,39.1677
0,19,273982,5781.04,4617.25,442363,295643,92286.9,77256.9,1.25673e+08,42.2354,45.2747,42.9417,36.2615
0,20,272097,5804.75,4637.9,442505,295799,93252.6,78106,1.25682e+08,42.6801,45.7753,40.4352,45.3131
0,21,270142,5821.19,4652.78,442549,295884,94140.1,78890.7,1.2569e+08,43.0905,46.2399,39.5388,45.362
0,22,268150,5830.35,4661.83,442495,295898,94938.1,79601,1.257e+08,43.4613,46.6627,44.3662,45.8849
0,23,266150,5832.36,4665.14,442341,295841,95637.1,80227.9,1.25709e+08,43.7881,47.0383,44.2482,48.5984
0,24,264172,5827.46,4662.86,442090,295715,96229.1,80763.9,1.25719e+08,44.0672,47.3623,42.647,45.3838
0,25,262244,5816.02,4655.23,441747,295522,96708,81202.9,1.25729e+08,44.2957,47.6309,42.8792,51.22
0,26,260392,5798.49,4642.6,441316,295267,97069.7,81540.7,1.2574e+08,44.4715,47.8414,55.2163,26.4763
0,27,258640,5775.41,4625.35,440804,294954,97312.2,81774.6,1.25751e+08,44.5936,47.9921,34.7256,31.7116
0,28,257008,5747.38,4603.95,440222,294589,97435.3,81903.8,1.25762e+08,44.6616,48.0822,43.8651,45.0241
0,29,255515,5715.07,4578.88,439577,294178,97441.1,81929.2,1.25773e+08,44.6763,48.1122,42.8942,53.5279
0,30,254175,5679.14,4550.68,438881,293730,97333.4,81853.4,1.25785e+08,44.6393,48.0832,49.64,39.5684
0,31,253000,5640.29,4519.87,438144,293251,97117.5,81680.7,1.25796e+08,44.5528,47.9975,57.2892,42.1988
0,32,252001,5599.22,4487.01,437379,292749,96800.7,81416.6,1.25808e+08,44.4199,47.858,37.571,48.407
0,33,251183,5556.59,4452.62,436595,292232,96391.3,81068,1.25819e+08,44.2442,47.6686,43.8762,55.7264
0,34,250550,5513.08,4417.22,435805,291707,95898.8,80642.9,1.25831e+08,44.0299,47.4336,31.2462,40.8355
0,35,250102,5469.28,4381.32,435019,291180,95333.4,80149.9,1.25842e+08,43.7815,47.158,46.0233,52.0439
0,36,249839,5425.79,4345.38,434248,290659,94706.2,79598.4,1.25854e+08,43.504,46.8472,44.689,59.3798
0,37,249756,5383.13,4309.84,433500,290151,94028.4,78998.4,1.25865e+08,43.2024,46.5067,40.7158,39.5505
0,38,249848,5341.81,4275.1,432784,289659,93311.5,78359.9,1.25876e+08,42.8818,46.1423,52.9535,43.2727
0,39,250106,5302.26,4241.54,432109,289190,92566.9,77692.9,1.25887e+08,42.5475,45.7598,46.0543,46.4121
0,40,250522,5264.88,4209.49,431480,288749,91806,77007.4,1.25898e+08,42.2045,45.365,40.9167,36.9932
0,41,251085,5230.02,4179.25,430904,288337,91039.4,76313.2,1.25908e+08,41.8577,44.9636,42.7432,57.9511
0,42,251782,5197.98,4151.08,430385,287959,90277.7,75619.5,1.25918e+08,41.512,44.561,49.5336,43.1506
0,43,252602,5169.03,4125.2,429928,287617,89530.5,74935.2,1.25928e+08,41.1718,44.1624,48.7836,46.5395
0,44,253528,5143.37,4101.82,429535,287313,88807.1,74268.4,1.25937e+08,40.8412,43.7727,49.5427,39.3888
0,45,254548,5121.19,4081.09,429207,287048,88115.6,73626.8,1.25947e+08,40.5243,43.3963,49.204,33.4641
0,46,255645,5102.63,4063.15,428947,286823,87463.7,73017.2,1.25956e+08,40.2244,43.0373,35.1018,43.7017
0,47,256805,5087.78,4048.1,428755,286637,86858.1,72446,1.25964e+08,39.9447,42.6995,37.9014,35.7504
0,48,258010,5076.71,4036.02,428630,286491,86304.8,71918.5,1.25972e+08,39.6879,42.3863,49.174,53.7264
0,49,259245,5069.44,4026.94,428571,286383,85808.7,71439.5,1.2598e+08,39.4566,42.1003,37.2595,48.8209
0,50,260494,5065.97,4020.89,428577,286314,85374.1,71013,1.25988e+08,39.2526,41.8442,47.0888,43.3681
0,51,261741,5066.25,4017.85,428646,286281,85004.4,70642.3,1.25995e+08,39.0777,41.6198,37.5155,39.495
0,52,262970,5070.21,4017.78,428774,286282,84702.2,70329.9,1.26002e+08,38.9331,41.4289,34.6501,36.676
0,53,264167,5077.72,4020.62,428959,286316,84469.1,70077.8,1.26009e+08,38.8196,41.2727,38.1885,40.8743
0,54,265316,5088.64,4026.27,429197,286381,84306.2,69887.1,1.26016e+08,38.7379,41.1519,35.0502,38.3015
0,55,266405,5102.78,4034.6,429484,286473,84213.7,69758.3,1.26022e+08,38.688,41.0669,41.5574,36.3002
0,56,267420,5119.93,4045.47,429815,286591,84190.9,69691.3,1.26028e+08,38.6699,41.0179,36.001,40.734
0,57,268350,5139.82,4058.7,430185,286731,84236.4,69685.4,1.26034e+08,38.6829,41.0044,38.8999,42.4781
0,58,269184,5162.17,4074.08,430590,286891,84348.2,69739,1.2604e+08,38.7262,41.0257,36.2371,39.5335
0,59,269913,5186.66,4091.38,431023,287067,84523.4,69850.2,1.26046e+08,38.7986,41.0807,39.472,43.5001
0,60,270529,5212.93,4110.34,431480,287255,84758.4,70016.2,1.26051e+08,38.8986,41.168,38.683,37.0004
0,61,271026,5240.61,4130.69,431954,287454,85049,70233.9,1.26057e+08,39.0242,41.2858,39.0777,33.4957
0,62,271399,5269.3,4152.12,432440,287658,85390.3,70499.4,1.26062e+08,39.1734,41.432,39.3442,46.3553
0,63,271646,5298.56,4174.33,432930,287866,85776.7,70808.3,1.26067e+08,39.3437,41.604,38.2075,40.9831
0,64,271766,5327.97,4196.98,433419,288073,86202,71155.8,1.26072e+08,39.5324,41.7993,38.9399,43.4579
0,65,271759,5357.09,4219.73,433901,288277,86659.6,71536.4,1.26077e+08,39.7365,42.0146,38.5637,35.7832
0,66,271628,5385.47,4242.25,434368,288473,87142.3,71944.3,1.26083e+08,39.9528,42.2468,37.1195,41.5647
0,67,271379,5412.67,4264.2,434817,288659,87642.7,72373.4,1.26088e+08,40.178,42.4922,40.4778,48.5578
0,68,271016,5438.28,4285.24,435240,288833,88152.9,72817.1,1.26093e+08,40.4085,42.7471,39.2829,40.2036
0,69,270549,5461.9,4305.05,435632,288990,88664.9,73268.7,1.26098e+08,40.6408,43.0078,44.012,33.085
0,70,269986,5483.15,4323.34,435989,289130,89170.7,73721.3,1.26103e+08,40.8711,43.2701,40.4406,43.567
0,71,269338,5501.73,4339.84,436305,289250,89662.3,74167.9,1.26109e+08,41.096,43.5301,36.9928,39.9975
0,72,268619,5517.33,4354.29,436578,289348,90131.9,74601.8,1.26114e+08,41.3118,43.7839,39.074,50.6384
0,73,267840,5529.74,4366.51,436804,289424,90571.9,75016.3,1.26119e+08,41.515,44.0275,48.446,43.9495
0,74,267015,5538.78,4376.31,436981,289476,90975.5,75404.9,1.26125e+08,41.7026,44.2572,35.0478,47.2084
0,75,266159,5544.34,4383.58,437108,289504,91336,75761.7,1.2613e+08,41.8714,44.4695,45.4352,46.5798
0,76,265287,5546.37,4388.24,437183,289508,91648,76081.3,1.26136e+08,42.0188,44.6611,49.437,42.3377
0,77,264412,5544.87,4390.27,437207,289489,91906.5,76359,1.26142e+08,42.1426,44.8293,38.467,51.4309
0,78,263550,5539.92,4389.67,437181,289448,92107.6,76590.5,1.26147e+08,42.2408,44.9714,50.0143,46.9434
0,79,262713,5531.66,4386.51,437106,289386,92248.4,76772.7,1.26153e+08,42.312,45.0855,36.3196,54.3305
0,80,261916,5520.25,4380.89,436987,289305,92327,76903.1,1.26159e+08,42.3553,45.1701,41.2202,56.1467
