time,low95:SS:Japan__all,SS:Japan__all,high95:SS:Japan__all,low95:IS:Japan__all,IS:Japan__all,high95:IS:Japan__all,low95:SI:Japan__all,SI:Japan__all,high95:SI:Japan__all,low95:RS:Japan__all,RS:Japan__all,high95:RS:Japan__all,low95:SR:Japan__all,SR:Japan__all,high95:SR:Japan__all,low95:IR:Japan__all,IR:Japan__all,high95:IR:Japan__all,low95:RI:Japan__all,RI:Japan__all,high95:RI:Japan__all,low95:RR:Japan__all,RR:Japan__all,high95:RR:Japan__all,low95:EV71_JAP__IASR__inc,EV71_JAP__IASR__inc,high95:EV71_JAP__IASR__inc,low95:CA16_JAP__IASR__inc,CA16_JAP__IASR__inc,high95:CA16_JAP__IASR__inc
0,2.39651e+06,2.39651e+06,2.39651e+06,4064.61,4064.61,4064.61,4053.22,4053.22,4053.22,1.39625e+07,1.39625e+07,1.39625e+07,1.39049e+07,1.39049e+07,1.39049e+07,3040.5,3040.5,3040.5,3045.25,3045.25,3045.25,9.64303e+07,9.64303e+07,9.64303e+07,0,0,0,0,0,0
1,2.3997e+06,2.3997e+06,2.3997e+06,4103.59,4103.59,4103.59,4092.63,4092.63,4092.63,1.3963e+07,1.3963e+07,1.3963e+07,1.39054e+07,1.39054e+07,1.39054e+07,3064.94,3064.94,3064.94,3069.29,3069.29,3069.29,9.6426e+07,9.6426e+07,9.6426e+07,4.51702,4.51702,4.51702,3.74331,3.74331,3.74331
2,2.40267e+06,2.40267e+06,2.40267e+06,4149.55,4149.55,4149.55,4138.54,4138.54,4138.54,1.39635e+07,1.39635e+07,1.39635e+07,1.3906e+07,1.3906e+07,1.3906e+07,3095.67,3095.67,3095.67,3100.07,3100.07,3100.07,9.64305e+07,9.64305e+07,9.64305e+07,4.56145,4.56145,4.56145,3.78017,3.78017,3.78017
3,2.40539e+06,2.40539e+06,2.40539e+06,4202.39,4202.39,4202.39,4191.28,4191.28,4191.28,1.39641e+07,1.39641e+07,1.39641e+07,1.39065e+07,1.39065e+07,1.39065e+07,3131.82,3131.82,3131.82,3136.29,3136.29,3136.29,9.64352e+07,9.64352e+07,9.64352e+07,4.6139,4.6139,4.6139,3.82367,3.82367,3.82367
4,2.40783e+06,2.40783e+06,2.40783e+06,4261.93,4261.93,4261.93,4250.68,4250.68,4250.68,1.39647e+07,1.39647e+07,1.39647e+07,1.39071e+07,1.39071e+07,1.39071e+07,3173.22,3173.22,3173.22,3177.76,3177.76,3177.76,9.64401e+07,9.64401e+07,9.64401e+07,4.67404,4.67404,4.67404,3.87353,3.87353,3.87353
5,2.40994e+06,2.40994e+06,2.40994e+06,4327.81,4327.81,4327.81,4316.4,4316.4,4316.4,1.39653e+07,1.39653e+07,1.39653e+07,1.39078e+07,1.39078e+07,1.39078e+07,3219.63,3219.63,3219.63,3224.26,3224.26,3224.26,9.64451e+07,9.64451e+07,9.64451e+07,4.74157,4.74157,4.74157,3.92951,3.92951,3.92951
6,2.41172e+06,2.41172e+06,2.41172e+06,4399.59,4399.59,4399.59,4388,4388,4388,1.3966e+07,1.3966e+07,1.3966e+07,1.39084e+07,1.39084e+07,1.39084e+07,3270.79,3270.79,3270.79,3275.49,3275.49,3275.49,9.64505e+07,9.64505e+07,9.64505e+07,4.81606,4.81606,4.81606,3.99125,3.99125,3.99125
7,2.41312e+06,2.41312e+06,2.41312e+06,4476.75,4476.75,4476.75,4464.95,4464.95,4464.95,1.39667e+07,1.39667e+07,1.39667e+07,1.39092e+07,1.39092e+07,1.39092e+07,3326.34,3326.34,3326.34,3331.12,3331.12,3331.12,9.6456e+07,9.6456e+07,9.6456e+07,4.89703,4.89703,4.89703,4.05835,4.05835,4.05835
8,2.41414e+06,2.41414e+06,2.41414e+06,4558.66,4558.66,4558.66,4546.63,4546.63,4546.63,1.39675e+07,1.39675e+07,1.39675e+07,1.391e+07,1.391e+07,1.391e+07,3385.86,3385.86,3385.86,3390.71,3390.71,3390.71,9.64619e+07,9.64619e+07,9.64619e+07,4.98386,4.98386,4.98386,4.13029,4.13029,4.13029
9,2.41474e+06,2.41474e+06,2.41474e+06,4644.55,4644.55,4644.55,4632.27,4632.27,4632.27,1.39684e+07,1.39684e+07,1.39684e+07,1.39108e+07,1.39108e+07,1.39108e+07,3448.84,3448.84,3448.84,3453.76,3453.76,3453.76,9.6468e+07,9.6468e+07,9.6468e+07,5.07581,5.07581,5.07581,4.20648,4.20648,4.20648
