index,time,SS:Japan__all,IS:Japan__all,SI:Japan__all,RS:Japan__all,SR:Japan__all,IR:Japan__all,RI:Japan__all,RR:Japan__all,obs_mean:EV71_JAP__IASR__inc,obs_mean:CA16_JAP__IASR__inc,obs_real:EV71_JAP__IASR__inc,obs_real:CA16_JAP__IASR__inc
0,0,4.61032e+07,74754.1,24414,5.60903e+07,1.78121e+07,9144.12,9401.16,6.58505e+06,0,0,0,0
0,1,4.6132e+07,76504.9,24945.6,5.60694e+07,1.78075e+07,9350.17,9596.29,6.57903e+06,53.6952,10.9531,53.6952,12.614
0,2,4.61546e+07,78406.6,25513.3,5.60527e+07,1.78038e+07,9575.26,9806.19,6.58278e+06,54.9888,11.1944,54.9888,11.1643
0,3,4.61705e+07,80435.4,26110.7,5.60404e+07,1.7801e+07,9817.32,10029.3,6.58764e+06,56.3811,11.4506,56.3811,12.3951
0,4,4.61794e+07,82572.7,26733.6,5.60328e+07,1.7799e+07,10074.3,10264.2,6.59367e+06,57.8583,11.7198,57.8583,16.1262
0,5,4.61811e+07,84794.6,27376.5,5.60302e+07,1.7798e+07,10343.6,10509.2,6.60093e+06,59.4055,11.9997,59.4055,11.9371
0,6,4.61754e+07,87073.7,28033.5,5.60326e+07,1.7798e+07,10622,10762.1,6.60945e+06,61.0045,12.2881,61.0045,13.5162
0,7,4.61622e+07,89378.3,28697.6,5.60402e+07,1.7799e+07,10906,11020.6,6.61927e+06,62.6345,12.582,62.6345,10.7337
0,8,4.61416e+07,91673,29361,5.60529e+07,1.78009e+07,11191.2,11281.8,6.63039e+06,64.2719,12.8783,64.2719,12.4207
0,9,4.61138e+07,93919.1,30015.5,5.60706e+07,1.78039e+07,11473.3,11542.8,6.6428e+06,65.8903,13.1735,65.8903,13.9304
0,10,4.60789e+07,96075.2,30652.1,5.60933e+07,1.78078e+07,11747.2,11800.1,6.65648e+06,67.4614,13.4638,67.4614,13.8203
0,11,4.60375e+07,98098.4,31261.7,5.61205e+07,1.78126e+07,12007.7,12050.4,6.67138e+06,68.9552,13.7452,68.9552,9.75321
0,12,4.599e+07,99945.6,31834.9,5.6152e+07,1.78184e+07,12249.4,12289.9,6.68742e+06,70.3411,14.0136,70.3411,13.3357
0,13,4.59372e+07,101575,32362.7,5.61872e+07,1.7825e+07,12467.2,12514.9,6.70451e+06,71.5888,14.2648,71.5888,13.5883
0,14,4.58798e+07,102947,32836.5,5.62256e+07,1.78325e+07,12656,12721.9,6.72253e+06,72.6691,14.4949,72.6691,14.6718
0,15,4.58187e+07,104027,33248.4,5.62665e+07,1.78407e+07,12811.1,12907.4,6.74136e+06,73.5557,14.7,73.5557,15.7041
0,16,4.57549e+07,104788,33591.7,5.63093e+07,1.78496e+07,12928.7,13068.3,6.76083e+06,74.226,14.8768,74.226,15.0374
0,17,4.56895e+07,105208,33861,5.63531e+07,1.7859e+07,13005.6,13201.9,6.78078e+06,74.6622,15.0224,74.6622,15.9211
