time,low95:SS:Japan__all,SS:Japan__all,high95:SS:Japan__all,low95:IS:Japan__all,IS:Japan__all,high95:IS:Japan__all,low95:SI:Japan__all,SI:Japan__all,high95:SI:Japan__all,low95:RS:Japan__all,RS:Japan__all,high95:RS:Japan__all,low95:SR:Japan__all,SR:Japan__all,high95:SR:Japan__all,low95:IR:Japan__all,IR:Japan__all,high95:IR:Japan__all,low95:RI:Japan__all,RI:Japan__all,high95:RI:Japan__all,low95:RR:Japan__all,RR:Japan__all,high95:RR:Japan__all,low95:EV71_JAP__IASR__inc,EV71_JAP__IASR__inc,high95:EV71_JAP__IASR__inc,low95:CA16_JAP__IASR__inc,CA16_JAP__IASR__inc,high95:CA16_JAP__IASR__inc
0,577150,577150,577150,6822.02,6822.02,6822.02,6944.86,6944.86,6944.86,6.82322e+06,6.82322e+06,6.82322e+06,6.95426e+06,6.95426e+06,6.95426e+06,58864.6,58864.6,58864.6,58809.3,58809.3,58809.3,1.12222e+08,1.12222e+08,1.12222e+08,0,0,0,0,0,0
1,578740,578740,578740,6984.68,6984.68,6984.68,7111.35,7111.35,7111.35,6.81879e+06,6.81879e+06,6.81879e+06,6.94982e+06,6.94982e+06,6.94982e+06,60138,60138,60138,60079.3,60079.3,60079.3,1.12227e+08,1.12227e+08,1.12227e+08,77.1258,77.1258,77.1258,21.9064,21.9064,21.9064
2,579350,579350,579350,7142.33,7142.33,7142.33,7271.66,7271.66,7271.66,6.81126e+06,6.81126e+06,6.81126e+06,6.94228e+06,6.94228e+06,6.94228e+06,61340.8,61340.8,61340.8,61278.1,61278.1,61278.1,1.12247e+08,1.12247e+08,1.12247e+08,78.7628,78.7628,78.7628,22.3708,22.3708,22.3708
3,579124,579124,579124,7272.69,7272.69,7272.69,7403.84,7403.84,7403.84,6.80107e+06,6.80107e+06,6.80107e+06,6.93206e+06,6.93206e+06,6.93206e+06,62371.5,62371.5,62371.5,62301.8,62301.8,62301.8,1.12274e+08,1.12274e+08,1.12274e+08,80.2378,80.2378,80.2378,22.7883,22.7883,22.7883
4,578269,578269,578269,7366.22,7366.22,7366.22,7498.06,7498.06,7498.06,6.78889e+06,6.78889e+06,6.78889e+06,6.91982e+06,6.91982e+06,6.91982e+06,63139.2,63139.2,63139.2,63058.6,63058.6,63058.6,1.12307e+08,1.12307e+08,1.12307e+08,81.4209,81.4209,81.4209,23.1215,23.1215,23.1215
5,577034,577034,577034,7416.85,7416.85,7416.85,7548.09,7548.09,7548.09,6.77556e+06,6.77556e+06,6.77556e+06,6.9064e+06,6.9064e+06,6.9064e+06,63575.9,63575.9,63575.9,63480.5,63480.5,63480.5,1.12342e+08,1.12342e+08,1.12342e+08,82.2095,82.2095,82.2095,23.341,23.341,23.341
6,575682,575682,575682,7422.87,7422.87,7422.87,7552.25,7552.25,7552.25,6.76205e+06,6.76205e+06,6.76205e+06,6.89275e+06,6.89275e+06,6.89275e+06,63647.5,63647.5,63647.5,63534.3,63534.3,63534.3,1.12379e+08,1.12379e+08,1.12379e+08,82.539,82.539,82.539,23.4287,23.4287,23.4287
7,574472,574472,574472,7386.98,7386.98,7386.98,7513.5,7513.5,7513.5,6.74932e+06,6.74932e+06,6.74932e+06,6.8798e+06,6.8798e+06,6.8798e+06,63357.4,63357.4,63357.4,63225.4,63225.4,63225.4,1.12416e+08,1.12416e+08,1.12416e+08,82.3922,82.3922,82.3922,23.3801,23.3801,23.3801
8,573623,573623,573623,7315.87,7315.87,7315.87,7438.9,7438.9,7438.9,6.73822e+06,6.73822e+06,6.73822e+06,6.86843e+06,6.86843e+06,6.86843e+06,62745.3,62745.3,62745.3,62595.6,62595.6,62595.6,1.12449e+08,1.12449e+08,1.12449e+08,81.7999,81.7999,81.7999,23.2049,23.2049,23.2049
9,573304,573304,573304,7219.03,7219.03,7219.03,7338.41,7338.41,7338.41,6.72944e+06,6.72944e+06,6.72944e+06,6.85932e+06,6.85932e+06,6.85932e+06,61879.7,61879.7,61879.7,61716.3,61716.3,61716.3,1.12478e+08,1.12478e+08,1.12478e+08,80.8354,80.8354,80.8354,22.9248,22.9248,22.9248
10,573619,573619,573619,7107.42,7107.42,7107.42,7223.49,7223.49,7223.49,6.72342e+06,6.72342e+06,6.72342e+06,6.85294e+06,6.85294e+06,6.85294e+06,60847.8,60847.8,60847.8,60676.8,60676.8,60676.8,1.12501e+08,1.12501e+08,1.12501e+08,79.6024,79.6024,79.6024,22.5702,22.5702,22.5702
11,574605,574605,574605,6992.18,6992.18,6992.18,7105.7,7105.7,7105.7,6.72037e+06,6.72037e+06,6.72037e+06,6.84951e+06,6.84951e+06,6.84951e+06,59743.8,59743.8,59743.8,59572.9,59572.9,59572.9,1.12518e+08,1.12518e+08,1.12518e+08,78.2202,78.2202,78.2202,22.1758,22.1758,22.1758
12,576239,576239,576239,6883.57,6883.57,6883.57,6995.62,6995.62,6995.62,6.72022e+06,6.72022e+06,6.72022e+06,6.849e+06,6.849e+06,6.849e+06,58658.9,58658.9,58658.9,58496.4,58496.4,58496.4,1.12528e+08,1.12528e+08,1.12528e+08,76.8097,76.8097,76.8097,21.7763,21.7763,21.7763
13,578442,578442,578442,6790.22,6790.22,6790.22,6902.1,6902.1,6902.1,6.72272e+06,6.72272e+06,6.72272e+06,6.85119e+06,6.85119e+06,6.85119e+06,57673.3,57673.3,57673.3,57527.9,57527.9,57527.9,1.12532e+08,1.12532e+08,1.12532e+08,75.4822,75.4822,75.4822,21.4036,21.4036,21.4036
14,581092,581092,581092,6718.8,6718.8,6718.8,6831.92,6831.92,6831.92,6.72743e+06,6.72743e+06,6.72743e+06,6.85565e+06,6.85565e+06,6.85565e+06,56852.1,56852.1,56852.1,56731.6,56731.6,56731.6,1.1253e+08,1.1253e+08,1.1253e+08,74.3313,74.3313,74.3313,21.0841,21.0841,21.0841
15,584039,584039,584039,6673.87,6673.87,6673.87,6789.6,6789.6,6789.6,6.73377e+06,6.73377e+06,6.73377e+06,6.86185e+06,6.86185e+06,6.86185e+06,56242.8,56242.8,56242.8,56153.9,56153.9,56153.9,1.12525e+08,1.12525e+08,1.12525e+08,73.4289,73.4289,73.4289,20.838,20.838,20.838
16,587113,587113,587113,6657.89,6657.89,6657.89,6777.53,6777.53,6777.53,6.74111e+06,6.74111e+06,6.74111e+06,6.86916e+06,6.86916e+06,6.86916e+06,55875.1,55875.1,55875.1,55822.8,55822.8,55822.8,1.12516e+08,1.12516e+08,1.12516e+08,72.824,72.824,72.824,20.6788,20.6788,20.6788
17,590138,590138,590138,6671.33,6671.33,6671.33,6795.95,6795.95,6795.95,6.74876e+06,6.74876e+06,6.74876e+06,6.87691e+06,6.87691e+06,6.87691e+06,55761.1,55761.1,55761.1,55748.5,55748.5,55748.5,1.12507e+08,1.12507e+08,1.12507e+08,72.5425,72.5425,72.5425,20.613,20.613,20.613
18,592945,592945,592945,6712.76,6712.76,6712.76,6843.12,6843.12,6843.12,6.75607e+06,6.75607e+06,6.75607e+06,6.88445e+06,6.88445e+06,6.88445e+06,55896.8,55896.8,55896.8,55924.4,55924.4,55924.4,1.12498e+08,1.12498e+08,1.12498e+08,72.5883,72.5883,72.5883,20.641,20.641,20.641
19,595382,595382,595382,6778.93,6778.93,6778.93,6915.43,6915.43,6915.43,6.76242e+06,6.76242e+06,6.76242e+06,6.89116e+06,6.89116e+06,6.89116e+06,56262.2,56262.2,56262.2,56327.9,56327.9,56327.9,1.1249e+08,1.1249e+08,1.1249e+08,72.9449,72.9449,72.9449,20.7571,20.7571,20.7571
20,597322,597322,597322,6864.93,6864.93,6864.93,7007.46,7007.46,7007.46,6.76729e+06,6.76729e+06,6.76729e+06,6.89652e+06,6.89652e+06,6.89652e+06,56823.2,56823.2,56823.2,56921.6,56921.6,56921.6,1.12485e+08,1.12485e+08,1.12485e+08,73.5758,73.5758,73.5758,20.9499,20.9499,20.9499
21,598677,598677,598677,6964.36,6964.36,6964.36,7112.29,7112.29,7112.29,6.77032e+06,6.77032e+06,6.77032e+06,6.90012e+06,6.90012e+06,6.90012e+06,57532.1,57532.1,57532.1,57654.8,57654.8,57654.8,1.12484e+08,1.12484e+08,1.12484e+08,74.4268,74.4268,74.4268,21.2028,21.2028,21.2028
22,599402,599402,599402,7069.68,7069.68,7069.68,7221.82,7221.82,7221.82,6.77127e+06,6.77127e+06,6.77127e+06,6.9017e+06,6.9017e+06,6.9017e+06,58330.3,58330.3,58330.3,58465.7,58465.7,58465.7,1.12488e+08,1.12488e+08,1.12488e+08,75.4278,75.4278,75.4278,21.4946,21.4946,21.4946
23,599503,599503,599503,7172.69,7172.69,7172.69,7327.31,7327.31,7327.31,6.77009e+06,6.77009e+06,6.77009e+06,6.90118e+06,6.90118e+06,6.90118e+06,59151.4,59151.4,59151.4,59285.3,59285.3,59285.3,1.12496e+08,1.12496e+08,1.12496e+08,76.4966,76.4966,76.4966,21.8009,21.8009,21.8009
