index,time,SS:Japan__all,IS:Japan__all,SI:Japan__all,RS:Japan__all,SR:Japan__all,IR:Japan__all,RI:Japan__all,RR:Japan__all,obs_mean:EV71_JAP__IASR__inc,obs_mean:CA16_JAP__IASR__inc,obs_real:EV71_JAP__IASR__inc,obs_real:CA16_JAP__IASR__inc
0,0,4.96988e+06,74881.9,61298.5,1.91158e+07,1.67397e+07,340893,315309,8.50906e+07,0,0,0,0
0,1,4.9653e+06,76281.6,62460.8,1.90914e+07,1.67148e+07,347201,321215,8.51298e+07,110.704,557.696,110.704,557.696
0,2,4.95291e+06,77276.1,63312.2,1.90556e+07,1.66788e+07,351724,325669,8.52119e+07,112.475,566.892,112.475,566.892
0,3,4.93616e+06,77674.5,63716.9,1.90147e+07,1.66384e+07,353760,328042,8.53134e+07,113.536,572.881,113.536,572.881
0,4,4.91888e+06,77456.9,63655.4,1.89748e+07,1.66008e+07,353121,328115,8.54177e+07,113.741,574.925,113.741,574.925
0,5,4.90459e+06,76722,63190.7,1.89417e+07,1.65721e+07,350140,326080,8.55087e+07,113.122,573.04,113.122,573.04
0,6,4.89586e+06,75655.6,62447.8,1.89196e+07,1.65563e+07,345565,322475,8.55741e+07,111.864,567.919,111.864,567.919
0,7,4.89404e+06,74480.7,61581.2,1.89103e+07,1.65549e+07,340344,318035,8.5607e+07,110.25,560.725,110.25,560.725
0,8,4.89915e+06,73411,60743.1,1.89137e+07,1.65667e+07,335426,313534,8.56067e+07,108.593,552.809,108.593,552.809
0,9,4.91008e+06,72616.5,60059,1.89278e+07,1.65886e+07,331592,309646,8.55777e+07,107.175,545.455,107.175,545.455
0,10,4.9249e+06,72206.2,59614.6,1.89491e+07,1.66161e+07,329370,306870,8.55285e+07,106.208,539.685,106.208,539.685
0,11,4.94123e+06,72222.2,59450.9,1.89738e+07,1.66443e+07,328998,305483,8.547e+07,105.812,536.163,105.812,536.163
0,12,4.95659e+06,72642.2,59565.5,1.89977e+07,1.66684e+07,330426,305547,8.54133e+07,106.014,535.166,106.014,535.166
0,13,4.96883e+06,73386.4,59917.8,1.90174e+07,1.66844e+07,333344,306917,8.53686e+07,106.752,536.595,106.752,536.595
0,14,4.97634e+06,74328.9,60436.7,1.90303e+07,1.66901e+07,337232,309284,8.53435e+07,107.888,540.032,107.888,540.032
0,15,4.97834e+06,75315.6,61031.8,1.9035e+07,1.66848e+07,341432,312220,8.53421e+07,109.228,544.806,109.228,544.806
0,16,4.97497e+06,76187.1,61607.3,1.90316e+07,1.66696e+07,345249,315243,8.53646e+07,110.549,550.105,110.549,550.105
0,17,4.96718e+06,76806.3,62077.1,1.90213e+07,1.66473e+07,348067,317890,8.5407e+07,111.635,555.091,111.635,555.091
0,18,4.95661e+06,77083.9,62379.3,1.90063e+07,1.66219e+07,349464,319794,8.54628e+07,112.316,559.037,112.316,559.037
0,19,4.94518e+06,76994.4,62485.3,1.89894e+07,1.65975e+07,349287,320742,8.55235e+07,112.502,561.445,112.502,561.445
0,20,4.93482e+06,76577.8,62402.8,1.89734e+07,1.65779e+07,347670,320699,8.55804e+07,112.191,562.116,105.447,562.116
