time,low95:SS:Japan__all,SS:Japan__all,high95:SS:Japan__all,low95:IS:Japan__all,IS:Japan__all,high95:IS:Japan__all,low95:SI:Japan__all,SI:Japan__all,high95:SI:Japan__all,low95:RS:Japan__all,RS:Japan__all,high95:RS:Japan__all,low95:SR:Japan__all,SR:Japan__all,high95:SR:Japan__all,low95:IR:Japan__all,IR:Japan__all,high95:IR:Japan__all,low95:RI:Japan__all,RI:Japan__all,high95:RI:Japan__all,low95:RR:Japan__all,RR:Japan__all,high95:RR:Japan__all,low95:EV71_JAP__IASR__inc,EV71_JAP__IASR__inc,high95:EV71_JAP__IASR__inc,low95:CA16_JAP__IASR__inc,CA16_JAP__IASR__inc,high95:CA16_JAP__IASR__inc
0,594673,594673,594673,10466.5,10466.5,10466.5,9267.78,9267.78,9267.78,6.04912e+06,6.04912e+06,6.04912e+06,5.81232e+06,5.81232e+06,5.81232e+06,215486,215486,215486,197778,197778,197778,1.13819e+08,1.13819e+08,1.13819e+08,0,0,0,0,0,0
1,595352,595352,595352,10657.3,10657.3,10657.3,9438.04,9438.04,9438.04,6.03157e+06,6.03157e+06,6.03157e+06,5.79481e+06,5.79481e+06,5.79481e+06,218946,218946,218946,200979,200979,200979,1.13847e+08,1.13847e+08,1.13847e+08,218.078,218.078,218.078,234.932,234.932,234.932
2,594483,594483,594483,10764.5,10764.5,10764.5,9535.76,9535.76,9535.76,6.00797e+06,6.00797e+06,6.00797e+06,5.77138e+06,5.77138e+06,5.77138e+06,220504,220504,220504,202490,202490,202490,1.139e+08,1.139e+08,1.139e+08,220.686,220.686,220.686,237.802,237.802,237.802
3,593236,593236,593236,10754.1,10754.1,10754.1,9531.84,9531.84,9531.84,5.98621e+06,5.98621e+06,5.98621e+06,5.75001e+06,5.75001e+06,5.75001e+06,219860,219860,219860,202030,202030,202030,1.13954e+08,1.13954e+08,1.13954e+08,221.157,221.157,221.157,238.435,238.435,238.435
4,592625,592625,592625,10655.3,10655.3,10655.3,9450.95,9450.95,9450.95,5.9725e+06,5.9725e+06,5.9725e+06,5.73691e+06,5.73691e+06,5.73691e+06,217542,217542,217542,200044,200044,200044,1.13995e+08,1.13995e+08,1.13995e+08,219.616,219.616,219.616,236.939,236.939,236.939
5,593195,593195,593195,10522.5,10522.5,10522.5,9339,9339,9339,5.96955e+06,5.96955e+06,5.96955e+06,5.73469e+06,5.73469e+06,5.73469e+06,214568,214568,214568,197420,197420,197420,1.14014e+08,1.14014e+08,1.14014e+08,216.88,216.88,216.88,234.14,234.14,234.14
6,594948,594948,594948,10410.5,10410.5,10410.5,9242.78,9242.78,9242.78,5.97624e+06,5.97624e+06,5.97624e+06,5.74211e+06,5.74211e+06,5.74211e+06,212003,212003,212003,195098,195098,195098,1.14012e+08,1.14012e+08,1.14012e+08,214.032,214.032,214.032,231.157,231.157,231.157
7,597445,597445,597445,10357.4,10357.4,10357.4,9194.79,9194.79,9194.79,5.98865e+06,5.98865e+06,5.98865e+06,5.75512e+06,5.75512e+06,5.75512e+06,210600,210600,210600,193756,193756,193756,1.13996e+08,1.13996e+08,1.13996e+08,212.01,212.01,212.01,228.968,228.968,228.968
8,600024,600024,600024,10376.3,10376.3,10376.3,9206.63,9206.63,9206.63,6.00174e+06,6.00174e+06,6.00174e+06,5.76855e+06,5.76855e+06,5.76855e+06,210643,210643,210643,193662,193662,193662,1.13975e+08,1.13975e+08,1.13975e+08,211.341,211.341,211.341,228.136,228.136,228.136
9,602039,602039,602039,10456.3,10456.3,10456.3,9269.44,9269.44,9269.44,6.01098e+06,6.01098e+06,6.01098e+06,5.77781e+06,5.77781e+06,5.77781e+06,211941,211941,211941,194667,194667,194667,1.13961e+08,1.13961e+08,1.13961e+08,212.063,212.063,212.063,228.723,228.723,228.723
